Time (s),X (rad/s),Y (rad/s),Z (rad/s)
3.286271700E-2,3.481829539E-2,1.382041909E-2,6.726955622E-2
5.213068600E-2,2.993151546E-2,1.198787708E-2,7.093463838E-2
7.139667500E-2,1.404948719E-2,3.092414327E-2,6.482616812E-2
9.066370600E-2,-9.162709117E-3,5.291464552E-2,5.505260825E-2
1.099307380E-1,-4.581354558E-2,7.795938104E-2,4.650074616E-2
1.291977170E-1,-1.007898003E-1,1.030041203E-1,4.222481698E-2
1.484658420E-1,-1.789782494E-1,1.347681731E-1,1.962346770E-2
1.677319880E-1,-2.816005945E-1,1.329356283E-1,-1.091889478E-2
1.869990190E-1,-4.037700295E-1,1.561478376E-1,-4.329380020E-2
2.062668310E-1,-5.583143830E-1,1.891335845E-1,-8.299887180E-2
2.255330290E-1,-7.238540053E-1,2.196759433E-1,-1.141520813E-1
2.447546440E-1,-8.991671801E-1,2.722088099E-1,-1.642415524E-1
2.640667790E-1,-1.066539288E0,3.369586170E-1,-2.460950911E-1
2.833349040E-1,-1.145338655E0,3.986541927E-1,-3.242835402E-1
3.026011020E-1,-1.028055906E0,4.059843719E-1,-2.815242410E-1
3.218673000E-1,-8.826742768E-1,2.288386524E-1,-1.917296797E-1
3.411079250E-1,-7.757760286E-1,8.895463496E-2,-1.404185146E-1
3.604013630E-1,-6.700994372E-1,4.130854458E-2,-1.489703804E-1
3.796691230E-1,-5.656445622E-1,3.214583546E-2,-1.630198658E-1
3.989084460E-1,-4.844018817E-1,1.127776727E-1,-1.416402012E-1
4.181577170E-1,-3.848337829E-1,1.213295385E-1,-4.634803534E-2
4.374709980E-1,-2.803788781E-1,1.396549493E-1,3.855973482E-2
4.567101650E-1,-1.740914732E-1,1.793600321E-1,-1.763821393E-2
4.760049560E-1,-1.325538605E-1,2.935884595E-1,-2.589228749E-1
4.952257900E-1,-6.902574003E-2,2.496074587E-1,-1.672957987E-1
5.145379770E-1,-2.443389036E-2,1.787491739E-1,-7.872293890E-2
5.338060500E-1,1.404948719E-2,2.019613683E-1,-2.063900232E-1
5.530268310E-1,6.902574003E-2,2.380013615E-1,-3.365004957E-1
5.723390190E-1,1.221694499E-1,1.732515544E-1,-1.282015741E-1
5.916060500E-1,1.557660550E-1,2.664821222E-2,2.328855172E-2
6.108741750E-1,1.533226669E-1,-8.758022636E-2,5.260922015E-2
6.301411020E-1,3.237490356E-2,-1.364480108E-1,1.124722511E-1
6.494068310E-1,-4.886778072E-3,-1.272853017E-1,6.116108224E-2
6.686752170E-1,7.269082218E-2,-1.785964668E-1,1.351499557E-2
6.879414150E-1,1.459924877E-1,-4.137726724E-1,-2.063900232E-1
7.072081860E-1,1.258345395E-1,-5.102865100E-1,-5.228089094E-1
7.264752170E-1,1.221694518E-3,-3.673482835E-1,-6.498651505E-1
7.457006330E-1,-9.223793447E-2,-5.719820857E-1,-9.791117907E-1
7.650092790E-1,-1.325538605E-1,-7.136986852E-1,-1.196573377E0
7.842773520E-1,-5.986303091E-2,-5.951942801E-1,-6.675797105E-1
8.035438630E-1,1.747023165E-1,-3.856737018E-1,-5.478536487E-1
8.228109460E-1,2.199050039E-2,-2.549523711E-1,-4.989858568E-1
8.420773520E-1,-6.719319522E-2,-4.168269038E-1,-3.792597950E-1
8.613443830E-1,2.620534599E-1,-4.473692477E-1,-2.308239043E-1
8.806116750E-1,3.860554695E-1,1.504211407E-2,-2.937411666E-1
8.998332900E-1,3.353551328E-1,1.317139417E-1,-4.189648628E-1
9.191003210E-1,3.268032968E-1,-1.315612346E-1,-2.894652486E-1
9.383712060E-1,3.701734245E-1,-2.893888950E-2,-7.261446863E-2
9.576525610E-1,7.171346545E-1,7.795938104E-2,1.857739240E-1
9.769476650E-1,7.348492742E-1,2.465532273E-1,2.694599926E-1
9.961684460E-1,4.165978432E-1,9.227611423E-1,-4.451549426E-2
1.015435477E0,2.034121305E-1,1.013242841E0,-5.087594390E-1
1.034747665E0,3.457395434E-1,6.503232718E-1,-6.920135617E-1
1.054014436E0,7.110261917E-1,1.408766508E-1,-7.280535698E-1
1.073281779E0,1.064172268E0,7.979192585E-2,-1.089675188E0
1.092548758E0,8.185353279E-1,2.496074587E-1,-1.370664835E0
1.111815790E0,5.992411375E-1,1.659213901E-1,-1.219174743E0
1.131082821E0,5.851916671E-1,1.011715755E-1,-9.192487597E-1
1.150350738E0,6.859814525E-1,3.387911618E-1,-8.697701693E-1
1.169618029E0,7.195780873E-1,7.682167888E-1,-1.106778860E0
1.188885061E0,6.426113248E-1,8.854994774E-1,-1.248495460E0
1.208150998E0,6.847597957E-1,6.081748009E-1,-9.088643789E-1
1.227419383E0,8.307522535E-1,5.226562023E-1,-1.300341040E-1
1.246685113E0,9.431481957E-1,3.687226772E-1,1.234675050E-1
1.265952092E0,1.044014335E0,4.572955370E-1,1.908897655E-3
1.285219123E0,1.085551977E0,4.377484024E-1,4.650074616E-2
1.304486467E0,1.061728835E0,2.428881377E-1,8.376242965E-2
1.323752717E0,9.853729606E-1,1.799708754E-1,1.081963181E-1
1.343021675E0,8.979454637E-1,1.207186878E-1,2.040993422E-1
1.362242144E0,7.385143638E-1,8.834378421E-2,4.887541533E-1
1.381554383E0,5.259394646E-1,-1.908134073E-1,7.727981210E-1
1.400821415E0,3.695625961E-1,-2.806079686E-1,8.100598454E-1
1.420043290E0,2.467822880E-1,1.659213901E-1,4.521033168E-1
1.439310321E0,8.612946421E-2,4.511870444E-1,4.142307937E-1
1.458590842E0,-1.991362125E-1,2.080698460E-1,7.178218961E-1
1.477889540E0,-2.498365343E-1,4.069769755E-2,7.312605381E-1
1.497111467E0,4.764608666E-2,1.866901964E-1,2.358634025E-1
1.516423706E0,1.838650256E-1,3.699443638E-1,-3.352024406E-2
1.535690686E0,1.258345395E-1,8.622872829E-1,-2.741177008E-2
1.554957508E0,-1.343863904E-1,1.085933685E0,1.338519007E-1
1.574224852E0,-3.359659910E-1,8.268581033E-1,3.024457395E-1
1.593491883E0,-5.790832043E-1,3.363477588E-1,5.688514933E-2
1.612760008E0,-5.919110179E-1,8.895463496E-2,-6.254312396E-1
1.632025946E0,-7.812736630E-1,-2.225774676E-1,-1.228948355E0
1.651292769E0,-1.586370349E0,-1.182829380E0,-1.666391373E0
1.670533081E0,-2.593733788E0,-1.919587493E0,-1.242386937E0
1.689827092E0,-3.368899107E0,-3.300713062E0,-1.111054778E0
1.709094123E0,-3.691426277E0,-4.504158497E0,5.852680206E-1
1.728362300E0,-3.414101601E0,-2.602514744E0,3.139296770E0
1.747628290E0,-2.273039103E0,5.230379477E-2,3.439222813E0
1.766879800E0,-2.247383356E0,1.120141149E0,-1.298584938E0
1.786161779E0,-2.929699898E0,8.598438501E-1,-4.421770573E-1
1.805429123E0,-2.667035580E0,7.132405043E-1,4.679853618E-1
1.824695946E0,-1.949289918E0,-1.055773139E0,5.205182433E-1
1.843964592E0,-1.926077724E0,-2.358175755E0,2.169271260E-1
1.863203029E0,-2.069015980E0,-2.436364174E0,-1.306449622E-1
1.882497613E0,-1.699377060E0,-2.067412615E0,-5.289173722E-1
1.901719488E0,-1.153890491E0,-1.655625105E0,-5.527403951E-1
1.920986571E0,-5.723638535E-1,-1.121744633E0,-3.401655555E-1
1.940548706E0,-4.031591862E-2,-5.774797201E-1,-2.088334113E-1
1.959565321E0,3.072561622E-1,-7.169819623E-2,-1.440836042E-1
1.978894592E0,5.241069198E-1,3.907131851E-1,-1.043785289E-1
1.998054800E0,6.963658929E-1,4.994439781E-1,-7.750124484E-2
2.017321831E0,7.727217674E-1,3.131355643E-1,-2.863346599E-2
2.036635113E0,7.342383862E-1,-1.547734290E-1,-9.949174523E-2
2.055901102E0,5.772506595E-1,-6.318451166E-1,-1.135412306E-1
2.075122977E0,2.034121305E-1,-1.068600893E0,-6.467345357E-2
2.094435217E0,-2.602209449E-1,-1.195046306E0,-1.770693511E-1
2.113702248E0,-5.369347334E-1,-9.079480767E-1,-3.383330107E-1
2.132969331E0,-7.452336550E-1,-8.248728514E-1,-5.893912315E-1
2.152236363E0,-1.000567794E0,-5.841990709E-1,-6.565844417E-1
2.171503394E0,-1.070204377E0,-7.356891632E-1,-5.197546482E-1
2.190771571E0,-8.417475224E-1,-1.124188066E0,-3.395547271E-1
2.210037300E0,-4.685198367E-1,-9.445989132E-1,-2.735832036E-1
2.229304592E0,2.822114229E-1,4.008685052E-2,-1.086544544E-1
2.248572769E0,1.599274516E0,1.870719716E-2,1.955474764E-1
2.267838706E0,1.087384462E0,-8.819106966E-2,4.020138383E-1
2.287105790E0,-2.425063550E-1,1.390441060E-1,5.706077218E-1
2.306373394E0,4.831801951E-1,-7.521820664E-1,5.816029310E-1
2.325639383E0,1.004309297E0,-7.063685060E-1,2.695363574E-2
2.344906936E0,1.813681841E0,9.607100487E-1,-5.680115819E-1
2.364173498E0,2.517377853E0,1.257581830E0,-8.202915192E-1
2.383440529E0,1.587057590E0,2.068481594E-1,-8.557206392E-1
2.402662925E0,1.140528202E0,-4.412607849E-1,-5.490753055E-1
2.421929956E0,1.582170725E0,3.803287745E-1,-3.517716527E-1
2.441354540E0,2.003655434E0,1.165343881E0,-2.729723752E-1
2.460508706E0,2.180801153E0,1.572778940E0,-1.966164559E-1
2.479731154E0,2.269984722E0,1.834221601E0,-2.149418741E-1
2.499003342E0,2.420864105E0,1.499477267E0,-2.436517030E-1
2.518269227E0,2.355503321E0,9.497147799E-1,-1.740151197E-1
2.537577456E0,2.003044605E0,7.077429295E-1,-6.642963737E-3
2.556844540E0,1.602939606E0,6.912500262E-1,2.040993422E-1
2.576111571E0,1.532692075E0,7.205706835E-1,3.867426813E-1
2.595378654E0,1.644477129E0,1.032789946E0,5.455629826E-1
2.614645738E0,1.608437181E0,1.175117373E0,5.803812742E-1
2.633912769E0,1.360433221E0,8.732824922E-1,5.712185502E-1
2.653179540E0,9.236010313E-1,4.041518271E-1,4.759263694E-1
2.672446883E0,6.236750484E-1,5.977904201E-1,3.519243896E-1
2.691713967E0,5.919110179E-1,2.349471301E-1,2.969481349E-1
2.710980998E0,4.697415531E-1,-9.368869662E-2,3.244362473E-1
2.730248029E0,5.021164417E-1,1.219403818E-1,2.694599926E-1
2.749515113E0,6.676560640E-1,3.729985952E-1,-1.049893722E-1
2.768782144E0,6.139014959E-1,4.499653578E-1,-4.024719894E-1
2.788049227E0,-6.108472589E-3,6.833090186E-1,-3.151208162E-1
2.807316258E0,-6.371136904E-1,5.116609335E-1,-2.106659412E-1
2.826582821E0,-1.059819937E0,4.365267158E-1,-2.864110172E-1
2.845850373E0,-1.668223858E0,4.383592606E-1,-4.055262208E-1
2.865117404E0,-2.668257236E0,2.471640706E-1,-4.495072365E-1
2.884339331E0,-3.435481310E0,2.410555929E-1,-5.203655362E-1
2.903651519E0,-3.119062424E0,4.120928347E-1,-6.914027333E-1
2.922873446E0,-2.735450268E0,2.215084881E-1,-8.306759000E-1
2.942263550E0,-2.539979219E0,5.507551432E-1,-1.184356451E0
2.961454071E0,-2.503328323E0,1.175728321E0,-1.637070656E0
2.980692769E0,-2.604118109E0,9.985825419E-1,-1.677997470E0
2.999987925E0,-2.306024790E0,-2.494547516E-1,-1.446409941E0
3.019211675E0,-1.988995075E0,-1.871330619E0,-1.871636033E0
3.038480008E0,-2.081233025E0,-3.617131948E0,-2.257080555E0
3.057787977E0,-2.264487028E0,-4.502326012E0,-1.786728263E0
3.077055008E0,-1.777031064E0,-3.764957190E0,-9.186379313E-1
3.096322040E0,-5.619794726E-1,-2.105285168E0,-1.483595222E-1
3.115589123E0,-5.253286287E-2,-1.003240228E0,-2.723615170E-1
3.134855894E0,2.192941606E-1,6.390989572E-2,-4.812712967E-1
3.154124071E0,3.775036037E-1,4.524087608E-1,-7.445464730E-1
3.173390269E0,6.951441765E-1,7.382852435E-1,-6.736881733E-1
3.192657352E0,8.838959932E-1,1.119530320E0,-4.739411175E-1
3.211925425E0,7.971556783E-1,1.229482770E0,-3.908658922E-1
3.231192561E0,6.554391384E-1,6.869741082E-1,-1.477486789E-1
3.250458498E0,6.780404449E-1,-2.457896620E-1,1.595838554E-2
3.269725529E0,4.434750974E-1,-9.183325171E-1,2.205922157E-1
3.288950373E0,-1.698155403E-1,-1.357531667E0,2.926721871E-1
3.308259644E0,-5.705313683E-1,-1.358142495E0,2.047101855E-1
3.327526727E0,-7.562289238E-1,-1.037447691E0,3.978142887E-2
3.346793758E0,-7.867712975E-1,-7.515711784E-1,-7.444700599E-2
3.366060269E0,-5.986303091E-1,-1.189548731E0,-3.962871432E-2
3.385328133E0,-2.803788781E-1,-1.559722066E0,4.039227590E-2
3.404549748E0,-1.227803007E-1,-9.281060696E-1,-1.275907159E-1
3.423816779E0,4.715740979E-1,2.807606757E-1,-4.782170355E-1
3.443129019E0,9.290986657E-1,1.012021184E0,-3.517716527E-1
3.462397352E0,5.570927262E-1,2.990860939E-1,3.378748894E-1
3.481664175E0,4.996730685E-1,-7.485169768E-1,8.137248755E-1
3.500930217E0,7.385143638E-1,-6.080220938E-1,5.425087214E-1
3.520197508E0,1.062339783E0,1.208103180E0,-5.421269219E-3
3.539585633E0,1.260865092E0,2.038855553E0,-2.424300015E-1
3.558706779E0,1.306067824E0,4.065952003E-1,-2.179961205E-1
3.577998342E0,1.386088729E0,-3.813977540E-1,6.971294433E-2
3.597238446E0,1.359211564E0,4.212555289E-1,3.378748894E-1
3.616532456E0,1.392808080E0,9.900307059E-1,2.505237460E-1
3.635799488E0,1.593776822E0,1.017518878E0,1.088071689E-1
3.655066258E0,1.913860798E0,6.625401974E-1,-1.984490007E-1
3.674333602E0,1.850332737E0,7.877638936E-1,-3.438306451E-1
3.693600373E0,1.775809288E0,8.793910146E-1,-2.369323820E-1
3.712867717E0,1.817346931E0,9.429954290E-1,-8.483141661E-2
3.732134488E0,1.832007289E0,1.080436110E0,1.607291847E-1
3.751402665E0,1.654861569E0,1.345543742E0,3.586437106E-1
3.770668863E0,1.529027104E0,1.455496311E0,4.600443542E-1
3.789935633E0,1.546741605E0,1.324164152E0,5.370110869E-1
3.809202977E0,1.288964033E0,7.046886683E-1,4.288911223E-1
3.828470269E0,9.523108602E-1,1.359898746E-1,3.128301501E-1
3.847736831E0,7.030851841E-1,4.756209552E-1,3.568111658E-1
3.867004383E0,6.212316751E-1,6.826981902E-1,4.527141750E-1
3.886271154E0,6.395570636E-1,3.430670798E-1,4.136199355E-1
3.905493029E0,6.248967648E-1,1.992889121E-2,2.835094929E-1
3.924953238E0,6.090146899E-1,1.592020690E-1,2.499128878E-1
3.944073394E0,4.752391577E-1,5.238778591E-1,3.000023663E-1
3.963340425E0,4.642439261E-2,7.663842440E-1,3.818559051E-1
3.982606363E0,-5.143333673E-1,5.770215988E-1,2.725142241E-1
4.001828290E0,-8.289197087E-1,2.868691385E-1,1.718007959E-2
4.021141623E0,-1.186265349E0,3.491755724E-1,-1.123195365E-1
4.040408602E0,-1.769090056E0,7.711946499E-3,-3.132883012E-1
4.059674852E0,-2.695134401E0,-1.080817819E0,-5.203655362E-1
4.078914175E0,-3.238788605E0,-1.452823877E0,-6.553627253E-1
4.098217248E0,-2.966350555E0,-2.189123929E-1,-6.608603597E-1
4.117475686E0,-2.652986050E0,4.200338423E-1,-3.383330107E-1
4.136742821E0,-2.506993532E0,1.854684949E-1,-1.037676781E-1
4.156010946E0,-2.213176012E0,-1.205659807E-1,-6.642963737E-3
4.175276883E0,-1.966393709E0,-9.867473841E-1,1.246891990E-1
4.194543654E0,-2.059853315E0,-2.395437479E0,8.864920586E-2
4.213810946E0,-2.399484396E0,-2.797985792E0,-5.306735635E-2
4.233079123E0,-2.568078279E0,-1.943410516E0,-2.888543904E-1
4.252345008E0,-2.354892492E0,-1.052108049E0,-3.933092654E-1
4.271612092E0,-1.601030707E0,-3.905604780E-1,-1.721825749E-1
4.290879123E0,-5.680879354E-1,-1.150683537E-1,2.267770469E-2
4.310147196E0,9.162709117E-3,-4.919611216E-1,5.810684711E-2
4.329414279E0,2.614426315E-1,-6.684959531E-1,1.222458109E-1
