"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.148079167E-2,4.855486947E-1,4.142167568E-3,-1.857775018E0
3.137879167E-2,4.528009249E-1,-1.999847156E-1,-1.693025039E0
5.127779167E-2,3.979625206E-1,-3.426211095E-1,-1.198939995E0
7.117579167E-2,5.850159726E-1,-7.701432055E-1,3.475760400E-2
9.107479167E-2,7.953787650E-1,-4.676234704E-1,8.087693274E-1
1.109727917E-1,5.672239186E-1,-5.195631176E-1,8.300707340E-3
1.308717917E-1,3.761930443E-1,-7.740508997E-1,7.213055062E-1
1.507697917E-1,-1.606005899E0,-1.331380599E0,4.605044854E-1
1.706687917E-1,-1.363059790E0,-1.749820799E0,-9.078989285E-1
1.905667917E-1,-7.372714747E-1,-1.238713340E0,-1.351442395E0
2.104657917E-1,-5.450262800E-1,-1.052060861E0,-1.482759749E0
2.303637917E-1,-2.518869406E-1,-1.157294955E0,-7.737895292E-1
2.502627917E-1,3.170119129E-1,-6.684244573E-1,-6.967086089E-1
2.701607917E-1,3.681589993E0,2.194044882E-1,-1.766708143E0
2.900597917E-1,6.803130746E0,2.154352813E0,-3.974829027E0
3.099577917E-1,6.986076383E-1,1.457263550E0,-2.921816239E0
3.298567917E-1,-2.200311489E0,2.140765053E-1,-4.491370304E0
3.497547917E-1,4.583296135E-1,1.041335898E0,-4.478543851E0
3.696537917E-1,7.610529779E-1,-1.073531837E0,1.482556266E0
3.895517917E-1,-1.863631589E0,-4.595773509E0,3.244722292E0
4.094508750E-1,-3.099928422E-1,-2.199730715E0,1.025403405E0
4.293488750E-1,5.309466963E-1,-3.478063619E0,2.590617081E0
4.492478750E-1,1.841462456E0,-2.233806533E0,-1.297520542E0
4.691458750E-1,2.782131520E-1,-7.676555076E-1,-9.531183708E-1
4.890448750E-1,2.100954285E-1,-1.276310352E0,2.348939964E0
5.089428750E-1,2.372041436E-1,-1.305947257E0,1.713631212E0
5.288418750E-1,7.470525509E-1,-2.662374696E-1,2.008729076E-1
5.487398750E-1,1.350083356E0,-6.989644647E-2,1.049492179E0
5.686388750E-1,6.384098223E-1,-7.825363791E-1,1.902845356E0
5.885368750E-1,-2.422077522E-1,-1.270315494E0,2.275315332E0
6.084358750E-1,-1.263858122E-1,-1.348380793E0,1.045961630E-1
6.283338750E-1,-1.521837276E-1,-1.243590210E0,-1.247304654E-1
6.482328750E-1,-3.479911923E-1,-7.678490505E-1,4.392475176E-1
6.681308750E-1,5.126838684E-2,-1.126155901E0,1.811791345E0
6.880298750E-1,-7.112459564E-1,-8.913653415E-1,-1.670046651E-1
7.079278750E-1,-1.328775664E0,-7.927602357E-1,-2.170344363E0
7.278268750E-1,7.226184985E-1,-2.269525419E0,-4.305488487E0
7.477248750E-1,2.314023315E0,-2.384894200E0,-4.139936855E0
7.676238750E-1,3.669066134E0,-2.837420160E0,-5.770186188E0
7.875218750E-1,3.978650182E-1,-3.875070266E0,-4.445305354E0
8.074208750E-1,-3.566227644E0,-2.740090624E0,5.067588848E-1
8.273188750E-1,-2.005403180E0,-3.115241841E0,3.152260271E0
8.472178750E-1,-1.293627466E0,-2.116066560E0,3.729063537E0
8.671158750E-1,-1.259423593E0,-6.507044703E-1,3.080512596E0
8.870148750E-1,-1.156537741E0,-1.197905914E-1,2.382392469E0
9.069128750E-1,-1.324556898E0,-1.482600997E-1,1.855407481E0
9.268118750E-1,-1.945577978E0,1.062292904E-1,1.163497097E0
9.467098750E-1,-2.068241453E0,3.252471314E-1,8.903555274E-1
9.666088750E-1,-1.742425241E0,9.411657849E-1,1.009355721E0
9.865068750E-1,-7.916042411E-1,1.281035487E0,1.115258152E0
1.006405875E0,-4.403473788E-1,1.324795464E0,1.205987644E0
1.026303875E0,-4.085835493E-1,6.378128216E-1,1.044729622E0
1.046202875E0,-1.218208324E0,4.299337801E-1,2.619371349E-1
1.066100875E0,-2.790177289E0,5.916060770E-1,-2.457625669E-1
1.085999875E0,-3.588376020E0,7.800808409E-1,-4.196458966E-1
1.105897875E0,-3.493825373E0,9.080743450E-1,-3.437727186E-1
