Time (s),X (rad/s),Y (rad/s),Z (rad/s)
1.987969500E-2,-4.382521659E-2,-1.022762898E-2,7.566002011E-2
3.973282000E-2,0.000000000E0,0.000000000E0,0.000000000E0
5.958594500E-2,-6.187192351E-2,5.719443783E-2,-5.448918045E-2
7.943907000E-2,-5.218534544E-2,5.396557972E-2,-1.486147791E-1
9.929219500E-2,-4.305727407E-2,5.033529550E-2,-2.215520889E-1
1.191453200E-1,-7.305948436E-2,4.715879634E-2,-2.296678722E-1
1.389968830E-1,-1.040739864E-1,3.186971322E-2,-1.665742248E-1
1.588500080E-1,-1.209338605E-1,2.902482450E-2,-1.564164013E-1
1.787031330E-1,-1.347045153E-1,1.865756884E-2,-8.052948862E-2
1.985546950E-1,-1.425061375E-1,1.572541706E-2,-2.040289901E-2
2.184062580E-1,-1.531700939E-1,1.279326342E-2,4.082325101E-2
2.382609450E-1,-1.749343574E-1,1.029744279E-2,1.388060302E-1
2.581125080E-1,-1.949881762E-1,2.174680308E-2,2.514321208E-1
2.779656330E-1,-2.087762803E-1,4.749041051E-2,3.639709651E-1
2.978171950E-1,-2.210983038E-1,8.503244072E-2,4.225442111E-1
3.176718830E-1,-2.355321795E-1,1.138478294E-1,4.486717880E-1
3.375234450E-1,-2.559001744E-1,1.404291838E-1,4.475896955E-1
3.573750080E-1,-2.897421122E-1,1.569225490E-1,4.786216319E-1
3.772296950E-1,-3.333229721E-1,1.632406414E-1,5.397256017E-1
3.970812580E-1,-3.761708140E-1,1.712691635E-1,5.931850672E-1
4.169328200E-1,-4.191059172E-1,1.865233332E-1,6.243740916E-1
4.367859450E-1,-4.625820518E-1,2.111499310E-1,6.234839559E-1
4.566390700E-1,-5.083620548E-1,2.393893600E-1,6.133435965E-1
4.764921950E-1,-5.540896654E-1,2.689901292E-1,6.140766144E-1
4.963437580E-1,-6.037966609E-1,3.038618267E-1,6.325771213E-1
5.161968830E-1,-6.884450912E-1,3.251024783E-1,7.811570168E-1
5.360500080E-1,-7.597592473E-1,3.453482985E-1,9.353219271E-1
5.559015700E-1,-7.776663303E-1,3.623652458E-1,9.955183268E-1
5.757609450E-1,-7.902676463E-1,3.674267232E-1,1.079800248E0
5.956078200E-1,-8.084714413E-1,3.700098097E-1,1.152318716E0
6.154593830E-1,-8.272162676E-1,3.696956336E-1,1.216808677E0
6.353125080E-1,-8.400269747E-1,3.619812727E-1,1.273776174E0
6.551656330E-1,-8.433082104E-1,3.523296118E-1,1.308630466E0
6.750187580E-1,-8.816356063E-1,3.562566042E-1,1.368460298E0
6.948703200E-1,-9.271188974E-1,3.909886479E-1,1.370589614E0
7.147234450E-1,-9.580286741E-1,4.372049868E-1,1.341896415E0
7.345765700E-1,-9.388300776E-1,4.935441911E-1,1.254944086E0
7.544281330E-1,-8.742703199E-1,5.505990386E-1,1.133224845E0
7.742812580E-1,-8.277572989E-1,6.226636767E-1,1.022448778E0
7.941343830E-1,-8.830493093E-1,6.994930506E-1,1.010388613E0
8.139859450E-1,-9.622698426E-1,7.825009227E-1,1.012517810E0
8.338390700E-1,-9.031031728E-1,8.651771545E-1,8.806756735E-1
8.536921950E-1,-7.677354217E-1,9.570862055E-1,6.887767315E-1
8.735453200E-1,-6.706601977E-1,1.062259793E0,5.251520872E-1
8.933968830E-1,-6.260495782E-1,1.176020265E0,3.977779746E-1
9.132500080E-1,-5.283285975E-1,1.316275001E0,2.211157680E-1
9.331015700E-1,-3.983713984E-1,1.438098907E0,5.384340882E-2
9.529546950E-1,-2.897246480E-1,1.538141251E0,-7.119198143E-2
9.728078200E-1,-2.214822769E-1,1.612195492E0,-1.506742686E-1
9.926593830E-1,-1.718800217E-1,1.653350353E0,-1.995260417E-1
1.012512508E0,-1.321737766E-1,1.687262177E0,-2.376091182E-1
1.032364070E0,-1.587551534E-1,1.699287415E0,-2.412917614E-1
1.052218758E0,-1.824741662E-1,1.693056583E0,-2.443635464E-1
1.072071883E0,-1.927367151E-1,1.668691874E0,-2.472084314E-1
1.091923445E0,-2.129650712E-1,1.628322363E0,-2.399478704E-1
1.111776570E0,-2.382548898E-1,1.573082685E0,-2.294584364E-1
1.131628133E0,-2.557081878E-1,1.522171497E0,-2.308372408E-1
1.151481258E0,-2.464404851E-1,1.499517083E0,-2.620961070E-1
1.171334383E0,-1.837308109E-1,1.527739048E0,-3.429920971E-1
1.191185945E0,-8.848819137E-2,1.586975574E0,-4.552167654E-1
1.211039070E0,-6.597344764E-3,1.629893184E0,-5.487140417E-1
1.230892195E0,2.612757869E-2,1.632528663E0,-6.096958518E-1
1.250745320E0,5.623450875E-2,1.632842779E0,-6.698224545E-1
1.270598445E0,7.101744413E-2,1.646857738E0,-7.419743538E-1
