Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
1.113164080E-1,-9.675240517E-2,-5.039143562E-2,-4.397268295E-1
1.302117720E-1,3.936002254E-1,1.352081299E-1,-3.280839920E-1
1.491071890E-1,8.802568913E-1,2.320978642E-1,1.020070076E0
1.680026050E-1,2.005617619E-1,-1.498339176E-1,6.429462433E-1
1.868979700E-1,6.677567959E-2,-3.872923851E-1,1.388568878E-1
2.057933870E-1,2.461695671E-1,-1.522452831E-1,-1.484184265E-1
2.246888030E-1,6.528669596E-1,2.737555504E-1,-3.685255051E-1
2.435842200E-1,7.564257383E-1,3.846950531E-1,-5.964813232E-1
2.624795850E-1,4.851181507E-1,2.187106609E-1,-5.397291183E-1
2.813750010E-1,1.988933086E-1,1.450676918E-1,-2.632904053E-1
3.002704180E-1,-4.864019156E-2,2.700924873E-2,8.621215820E-3
3.191658350E-1,-2.315813899E-1,-2.780961990E-2,-1.762676239E-1
3.380611990E-1,-2.704935074E-1,4.470968246E-2,-3.647050858E-1
3.569566160E-1,-1.497378349E-1,9.424185753E-2,-1.890764236E-1
3.758520330E-1,-1.379672289E-1,2.052354813E-2,2.637958527E-2
3.947474490E-1,-1.421926022E-1,-5.402016640E-2,2.482604980E-2
4.136428140E-1,-5.009502172E-2,-4.685258865E-2,1.604719162E-1
4.325382300E-1,1.531309485E-1,-3.990364075E-2,1.586284637E-1
4.514336470E-1,5.183118582E-2,1.906943321E-2,-9.788703918E-2
4.703290640E-1,-6.166630983E-2,6.827545166E-2,-3.363113403E-1
4.892244800E-1,-4.476809502E-2,2.089741230E-1,-7.285699844E-1
5.081198450E-1,3.016062975E-1,4.744000435E-1,-7.876167297E-1
5.270152620E-1,5.643074512E-1,5.397622585E-1,-1.330671310E-1
5.459106780E-1,7.086694241E-1,2.085433006E-1,4.920358658E-1
5.648060950E-1,7.290880680E-1,-2.807126045E-1,3.961629868E-1
5.837015120E-1,8.862513304E-1,-3.741679192E-1,4.080696106E-1
6.025969280E-1,8.632128239E-1,-4.816381931E-1,2.945699692E-1
6.214923450E-1,3.792270124E-1,-3.672509193E-1,9.890270233E-2
6.403877100E-1,1.681837678E0,1.014909744E0,-1.822260380E0
6.592831260E-1,9.351384044E-1,7.963991165E-2,-2.941693783E0
6.781785430E-1,3.283498287E-1,-6.685206890E-1,-1.337201118E0
6.970739600E-1,1.549438834E0,-8.773496151E-1,2.361192703E-1
7.159693760E-1,2.068339586E0,-7.685978413E-1,1.738157272E-1
7.348647930E-1,1.885704517E0,-9.509360790E-1,-1.739510059E0
7.537602100E-1,1.034304023E0,-1.550353527E0,-3.279632092E0
7.726556260E-1,4.754829407E-2,-2.222833633E0,-3.688594341E0
7.915509910E-1,-5.947490931E-1,-2.781443834E0,-3.477751255E0
8.104464080E-1,-1.007531643E0,-3.007732868E0,-2.417640209E0
8.293418240E-1,-5.642160177E-1,-2.929521084E0,-2.598634720E0
8.482372410E-1,-6.503833532E-1,-2.323056221E0,-3.386574268E0
8.671326580E-1,2.216566801E-1,-1.918136954E0,-3.185730457E0
8.860280740E-1,-4.390139580E-1,-2.675676823E0,-2.458865166E0
9.049234910E-1,-7.060765028E-1,-3.119348049E0,-3.161007404E0
9.238189080E-1,-1.059454083E0,-3.373098612E0,-3.280378342E0
9.427143240E-1,-1.360912085E0,-3.941878796E0,-3.137159348E-2
9.616097410E-1,-1.550523520E0,-4.680729866E0,3.993827820E0
9.805051050E-1,-8.895790577E-1,-3.611972809E0,6.347763062E0
9.994005220E-1,-5.460119247E-1,-2.984883308E0,5.964012146E0
1.018295939E0,9.037122726E-1,-1.895185947E0,6.782011986E0
1.037191355E0,-5.053391457E-1,-1.853344679E0,6.441551685E0
1.056086772E0,-1.579225063E0,-1.901206732E0,5.372346401E0
1.074982189E0,-1.478731632E0,-9.982115626E-1,5.607657909E0
1.093877605E0,-1.431705952E0,-6.770274639E-1,6.892210960E0
1.112773022E0,-9.781374931E-1,-4.155943394E-1,7.069807529E0
1.131668439E0,-1.436772346E-1,-3.508317471E-2,6.030745506E0
1.150563855E0,-1.194775581E0,-3.976917267E-2,4.632437706E0
1.169459220E0,3.748950958E-1,1.059673071E0,5.136480808E0
1.188354637E0,3.496011734E0,2.976456881E0,6.576206684E0
1.207250053E0,4.144547939E0,3.808136940E0,6.347321033E0
1.226145470E0,3.834981918E0,3.399951220E0,4.265030861E0
1.245040887E0,4.187893867E0,3.388987303E0,1.618443489E0
1.263936303E0,3.428672791E0,2.970832825E0,2.379479408E-1
1.282831720E0,3.041232109E0,2.720959425E0,-1.020864010E0
1.301727085E0,5.074656487E0,4.581298828E0,-1.221378326E1
1.320622501E0,1.882607460E0,8.176150322E-1,-6.013856888E0
1.339517918E0,2.604288101E0,-8.347487450E-2,3.658900261E0
1.358413335E0,-6.718730927E-2,-2.181029320E-2,2.845140219E0
1.377308751E0,6.980819702E-1,5.395476818E-1,2.508082390E-1
