Time (s),X (rad/s),Y (rad/s),Z (rad/s)
1.832616000E-2,-1.482875347E-1,-1.776090711E-1,-2.487748712E-1
4.132616000E-2,-1.482875347E-1,-1.776090711E-1,-2.487748712E-1
6.132616000E-2,-1.482875347E-1,-1.776090711E-1,-2.487748712E-1
8.132616000E-2,5.395467281E-1,1.461495161E-1,-3.159700334E-1
1.013261600E-1,2.035708427E-1,1.174388453E-1,-3.817907767E-3
1.213261600E-1,-6.582073122E-2,-2.576324046E-1,6.742424965E-1
1.413261600E-1,-3.772092983E-2,-1.070694089E0,1.214858294E0
1.613261600E-1,-1.085812971E-1,-8.776606321E-1,1.558164477E0
1.813261600E-1,-7.987063378E-2,-7.279986739E-1,1.439045787E0
2.013261600E-1,6.673702598E-2,-2.704605758E-1,9.900598526E-1
2.213261600E-1,1.449277848E-1,-1.745547503E-1,4.396702647E-1
2.413261600E-1,1.565342247E-1,-4.341724813E-1,3.527746722E-2
2.613261600E-1,1.846340150E-1,-9.118691087E-1,2.244929783E-2
2.813261600E-1,3.953825235E-1,-9.851729274E-1,2.533563673E-1
3.013261600E-1,8.419250250E-1,-1.163545609E0,-3.863722831E-2
3.213272310E-1,1.215774536E0,-8.837692738E-1,-5.024366826E-2
3.413272310E-1,6.861543655E-1,-4.842634201E-1,5.360342562E-2
3.613272310E-1,3.984368443E-1,-5.154175758E-1,1.928807050E-1
3.813272310E-1,3.721696436E-1,-5.086980462E-1,1.702786833E-1
4.013272310E-1,4.240931869E-1,-1.586722434E-1,9.330966324E-2
4.213272310E-1,4.870123267E-1,2.426662147E-1,-2.596177394E-3
4.413272310E-1,6.110179424E-1,2.225076705E-1,-3.817907767E-3
4.613272310E-1,7.667886019E-1,2.414444834E-1,1.330159009E-1
4.813272310E-1,7.490735054E-1,1.553124934E-1,3.119994104E-1
5.013272310E-1,4.662429094E-1,-1.317941695E-1,3.743076921E-1
5.213272310E-1,2.249511331E-1,-3.871358633E-1,2.484694421E-1
5.413272310E-1,1.186605766E-1,-3.627012372E-1,9.575312585E-2
5.613272310E-1,2.273945808E-1,-3.407101035E-1,-1.974621862E-1
5.813272310E-1,7.356344461E-1,4.230241850E-2,-3.349068761E-1
6.013272310E-1,1.249982953E0,1.540907621E-1,-4.369213581E-1
6.213280580E-1,1.455233693E0,2.432770878E-1,-7.667886019E-1
6.413280580E-1,1.466229320E0,2.249511331E-1,-1.265254617E0
6.613280580E-1,1.358106136E0,5.658139586E-1,-1.490663886E0
6.813280580E-1,9.433286786E-1,8.003861904E-1,-9.280570149E-1
7.013280580E-1,1.467603743E-1,1.196226835E0,2.032654136E-1
7.213280580E-1,-2.075414658E-1,1.102764487E0,4.720461071E-1
7.413280580E-1,2.493857294E-1,1.142470717E0,5.001459122E-1
7.613280580E-1,9.579893947E-1,1.289078355E0,4.476115108E-1
7.813280580E-1,8.254316449E-1,1.152855396E0,2.710714638E-1
8.013280580E-1,4.521929920E-1,7.435756922E-1,1.977676302E-1
8.213285580E-1,5.273294449E-1,5.975789428E-1,1.794416606E-1
8.413285580E-1,7.606799603E-1,5.261076689E-1,2.771801054E-1
8.613285580E-1,7.484626174E-1,3.935499489E-1,2.258674204E-1
8.813285580E-1,5.676465034E-1,1.730275750E-1,2.075414658E-1
9.013285580E-1,6.140722632E-1,-1.012509167E-1,2.845104933E-1
9.213280580E-1,9.097310901E-1,-1.366810948E-1,3.755294085E-1
9.413280580E-1,1.131475091E0,-1.134682223E-1,3.126102984E-1
9.613280580E-1,7.411322594E-1,-1.214094684E-1,1.328631863E-2
9.813280580E-1,1.797471046E-1,-2.228130996E-1,-2.567161322E-1
1.001328058E0,2.732094824E-1,-4.775438905E-1,-1.601994038E-1
1.021328058E0,5.090034604E-1,-2.973386645E-1,7.192938030E-2
1.041328058E0,4.564690590E-1,-1.562287807E-1,6.887505949E-2
1.061328058E0,4.796819389E-1,-3.908010423E-1,8.475755155E-2
1.081328058E0,3.538436890E-1,-4.329507351E-1,1.159116775E-1
1.102283461E0,3.495676219E-1,-4.793764949E-1,2.081523389E-1
1.122284261E0,6.507241726E-1,-2.417499274E-1,2.435825169E-1
1.142284261E0,7.075346708E-1,-4.199698567E-2,1.898263693E-1
1.162284261E0,7.142542005E-1,-1.324050426E-1,1.531744599E-1
1.182284261E0,6.079636216E-1,-2.790127099E-1,2.290744567E-3
1.202284261E0,-1.568396538E-1,6.918048859E-2,-5.212207437E-1
1.222283461E0,-1.290605545E0,2.298380435E-1,-1.183398724E0
1.242283461E0,-7.719809413E-1,1.962404549E-1,-1.242041707E0
1.262283461E0,-2.643519342E-1,-2.244929783E-2,-5.725334287E-1
1.282283461E0,-5.807801485E-1,-1.959350258E-1,2.855795063E-2
1.302283461E0,-7.683157325E-1,-3.162754774E-1,2.215913683E-1
1.322283961E0,-3.095559776E-1,-2.240348309E-1,3.071125150E-1
1.342283961E0,2.127338201E-1,-3.822489381E-1,3.877467215E-1
1.362283961E0,7.906123400E-1,-4.066835344E-1,5.141957998E-1
1.382283961E0,1.135140300E0,-2.142609805E-1,7.860308290E-1
1.402283961E0,1.121701360E0,2.133446932E-1,8.776606321E-1
1.422283461E0,9.708175659E-1,6.916521788E-1,6.046038866E-1
1.442283461E0,1.226770163E0,4.436408877E-1,5.270239711E-1
1.462283461E0,1.195005178E0,3.550654352E-1,5.367978215E-1
1.482283461E0,1.156520605E0,2.267837226E-1,4.604396820E-1
1.502283461E0,1.020908594E0,-7.788531948E-3,3.199406862E-1
1.522283461E0,7.014260292E-1,-1.214094684E-1,1.250746548E-1
1.542283461E0,4.411974251E-1,-7.315111160E-2,-3.497203439E-2
1.562283461E0,2.646573782E-1,-7.620543987E-2,-4.535674304E-2
1.582283461E0,2.432770878E-1,-2.961169183E-1,-3.680463135E-2
1.602283461E0,6.030766964E-1,-6.143777370E-1,1.328631863E-2
1.622284261E0,9.011789560E-1,-5.752823353E-1,2.179261744E-1
1.642284261E0,1.012967348E0,-3.352122903E-1,3.431535661E-1
1.662284261E0,8.730791807E-1,-1.183551401E-1,2.741257846E-1
1.682284261E0,7.008151412E-1,2.005165219E-1,7.987063378E-2
1.702284261E0,7.997753024E-1,9.972374886E-2,1.030835137E-1
1.722283461E0,1.192561626E0,-3.321579695E-1,4.262312353E-1
1.742283461E0,2.049605608E0,5.108360648E-1,4.818199575E-1
1.762283461E0,2.717892170E0,1.519985437E0,1.592831165E-1
1.782283461E0,2.791806936E0,1.841300607E0,-1.889100820E-1
1.802283461E0,1.992795110E0,2.155896187E0,-7.651086897E-2
1.822283961E0,9.372199774E-1,1.537089705E0,-5.236642361E-1
1.842283961E0,2.512183189E-1,-1.026711702E0,-1.477224827E0
1.862283961E0,7.142542005E-1,-7.389942408E-1,-1.548085213E0
1.882283961E0,1.474781394E0,-1.966833353E0,-1.204168081E0
