Time (s),X (rad/s),Y (rad/s),Z (rad/s)
9.393105000E-3,-1.531744599E-1,-4.683809280E-1,-1.907426715E-1
3.139310500E-2,-1.531744599E-1,-4.683809280E-1,-1.907426715E-1
5.086772600E-2,-1.531744599E-1,-4.683809280E-1,-1.907426715E-1
7.086772600E-2,-9.208793938E-2,-5.343543887E-1,-2.683225572E-1
9.086772600E-2,-2.374738604E-1,-3.865249753E-1,-2.793181241E-1
1.108677260E-1,-5.050328374E-1,-6.577491760E-1,-2.530509233E-1
1.308677260E-1,-5.306891799E-1,-1.014494419E0,-4.295909703E-1
1.508677260E-1,-4.372268021E-1,-1.173930287E0,-6.042984724E-1
1.708677260E-1,-4.543310404E-1,-1.781130314E0,-7.759515643E-1
1.908677260E-1,-7.530441284E-1,-2.681545734E0,-8.602510095E-1
2.108677260E-1,-1.328479171E0,-2.957656860E0,-6.995934248E-1
2.308677260E-1,-1.724319816E0,-2.270433426E0,-6.476698518E-1
2.508677260E-1,-1.818393111E0,-1.569160104E0,-4.430300295E-1
2.708677260E-1,-1.753641367E0,-1.450652242E0,-1.901318133E-1
2.908677260E-1,-1.856877685E0,-1.262505770E0,1.397354305E-1
3.108677260E-1,-2.024865627E0,-1.049313784E0,4.292855561E-1
3.308686590E-1,-1.662011623E0,-4.958698750E-1,3.480404615E-1
3.508686590E-1,-7.548767328E-1,2.561052442E-1,1.666134894E-1
3.708686590E-1,-5.604688451E-2,7.594582438E-1,5.482515693E-2
3.908686590E-1,5.468770862E-1,6.409503818E-1,-2.854267955E-1
4.108686590E-1,1.051451802E0,5.364924073E-1,-6.287330389E-1
4.308686590E-1,1.269530654E0,3.135266006E-1,-6.824892163E-1
4.508686590E-1,9.152288437E-1,-2.228130996E-1,-4.137084782E-1
4.708686590E-1,3.495676219E-1,-1.843285859E-1,6.704246253E-2
4.908686590E-1,-2.069306076E-1,-1.069014193E-3,4.457789063E-1
5.108686590E-1,-6.290385127E-1,4.596760869E-2,4.500549734E-1
5.308686590E-1,-6.168211699E-1,-1.091921628E-1,3.003929853E-1
5.508686590E-1,-2.936734557E-1,-5.184718966E-1,4.749477282E-2
5.708686590E-1,7.834346592E-2,-5.936083198E-1,-1.656972021E-1
5.908686590E-1,2.506074607E-1,-5.099197626E-1,-1.082758680E-1
6.108686590E-1,2.200642079E-1,-4.641048610E-1,3.466660157E-2
6.308694590E-1,7.101308554E-2,-5.361869931E-1,2.680171132E-1
6.508694590E-1,-4.932736978E-2,-8.904888034E-1,4.683809280E-1
6.708694590E-1,-2.393064648E-1,-1.217912555E0,5.135849714E-1
6.908694590E-1,-4.286746979E-1,-1.247844934E0,6.033821702E-1
7.108694590E-1,-5.710062981E-1,-1.332144380E0,7.799221873E-1
7.308694590E-1,-7.396050692E-1,-1.610088110E0,9.216429591E-1
7.508694590E-1,-9.063712955E-1,-1.885588288E0,1.084133148E0
7.708694590E-1,-1.112232924E0,-1.869705796E0,1.274112225E0
7.908694590E-1,-1.433547974E0,-1.497688890E0,1.509906173E0
8.108694590E-1,-1.677894115E0,-1.445765376E0,1.770745635E0
8.308699250E-1,-1.786017299E0,-1.747532725E0,2.248442173E0
8.508699250E-1,-1.796401978E0,-2.398104191E0,2.656500340E0
8.708699250E-1,-1.710269928E0,-2.924059153E0,2.803107977E0
8.908699250E-1,-1.377959251E0,-3.149468422E0,2.845868349E0
9.108699250E-1,-8.697193861E-1,-3.061503887E0,2.844035864E0
9.308694580E-1,-3.736968040E-1,-3.092658043E0,2.763401747E0
9.508694580E-1,-7.376197726E-2,-3.524539709E0,2.594802856E0
9.708694580E-1,3.966042697E-1,-3.884339333E0,2.575865984E0
9.908694580E-1,9.732610583E-1,-3.779881477E0,2.601522446E0
1.010869458E0,1.475392342E0,-3.322343349E0,2.543490171E0
1.030869458E0,1.702634096E0,-2.573422670E0,2.413986683E0
1.050869458E0,1.777770638E0,-1.850768924E0,2.255772591E0
1.070869458E0,1.797318220E0,-1.614364147E0,2.169640541E0
1.090869458E0,1.979966998E0,-1.782962918E0,2.126269102E0
1.110869458E0,2.344042778E0,-2.100612879E0,2.097558498E0
1.130870258E0,2.730720282E0,-2.283872366E0,2.071291447E0
1.150870258E0,3.057533264E0,-2.336406946E0,1.911244631E0
1.170870258E0,3.392898321E0,-2.310139656E0,1.836108208E0
1.190870258E0,3.336087704E0,-2.177581787E0,1.801899791E0
1.210870258E0,2.855336905E0,-2.062739134E0,1.762804389E0
1.230869458E0,2.043496847E0,-1.756695747E0,1.768302202E0
1.250869458E0,1.686751604E0,-1.526399493E0,1.754252315E0
1.270869458E0,1.555415630E0,-1.540449381E0,1.798234582E0
1.290869458E0,1.419192672E0,-1.906357765E0,1.808008432E0
1.310869458E0,1.234100461E0,-2.136653900E0,1.802510619E0
1.330869924E0,1.015410781E0,-2.159255981E0,1.784184694E0
1.350869924E0,7.954992652E-1,-2.115273714E0,1.602757692E0
1.370869924E0,7.307475209E-1,-1.880701423E0,1.388343930E0
1.390869924E0,7.240280509E-1,-1.808008432E0,1.197143197E0
1.410869924E0,4.350887835E-1,-1.651015997E0,1.028544307E0
1.430869457E0,9.300423414E-2,-1.180649757E0,9.625709057E-1
1.450869457E0,4.291328415E-2,-6.540839672E-1,9.906707406E-1
1.470869457E0,5.268712714E-2,-8.874344826E-1,1.010218382E0
1.490869457E0,7.101308554E-2,-1.536173344E0,1.105513334E0
1.510869457E0,2.066251636E-1,-1.608255506E0,1.228297234E0
1.530869457E0,1.247692257E-1,-1.371850610E0,1.432937145E0
1.550869457E0,-2.118175179E-1,-9.436340928E-1,1.509906173E0
1.570869457E0,-3.883575797E-1,-2.112066597E-1,1.404837370E0
1.590869457E0,-4.989241958E-1,2.237294018E-1,1.301601171E0
1.610869457E0,-4.207334518E-1,8.567385375E-2,1.252121091E0
1.630870257E0,-3.772092983E-2,-3.498730659E-1,1.202030063E0
1.650870257E0,3.263547719E-1,-5.539020896E-1,1.257618785E0
1.670870257E0,3.214678466E-1,-3.894266114E-2,1.341918230E0
1.690870257E0,2.200642079E-1,1.809688359E-1,1.252121091E0
1.710870257E0,3.263547719E-1,5.207626149E-2,1.100626469E0
1.730869457E0,2.017382532E-1,-2.490803003E-1,1.144608736E0
1.750869457E0,1.027780771E-1,-2.924517393E-1,1.010829210E0
1.770869457E0,1.467603743E-1,-1.611157060E-1,8.471173644E-1
1.790869457E0,1.015563458E-1,2.825251780E-2,7.420485616E-1
1.810869457E0,7.590000331E-2,2.280054539E-1,8.739954233E-1
1.830869923E0,-3.772092983E-2,2.506074607E-1,7.829765081E-1
1.850869923E0,-3.877467215E-1,-3.034473062E-1,3.431535661E-1
1.870869923E0,-6.369797587E-1,-7.176139355E-1,1.128573567E-1
1.890869923E0,-1.363298535E0,-8.581129313E-1,-5.207626149E-2
1.910869923E0,-1.462869525E0,-1.305266261E0,4.256203473E-1
1.930869456E0,-4.268420935E-1,-1.575879574E0,3.150537610E-1
1.950869456E0,-1.023199316E-2,-9.057604671E-1,6.643159688E-2
1.970869456E0,-3.352122903E-1,-3.284927905E-1,-8.078692853E-2
1.990869456E0,-5.019785166E-1,-5.032002330E-1,5.421429127E-2
2.010869456E0,-6.566801574E-3,-5.238169432E-2,4.506658316E-1
2.030869456E0,3.391829133E-1,-5.697845817E-1,3.804163337E-1
2.050869456E0,3.025310040E-1,-7.170031071E-1,4.805982411E-1
2.070869456E0,3.355177343E-1,-7.163922191E-1,4.860960245E-1
2.090869456E0,2.982549667E-1,-7.365507483E-1,6.357579827E-1
2.110869456E0,1.137736514E-1,-4.720461071E-1,1.004109740E0
2.130870256E0,8.261952549E-2,-8.428413272E-1,1.280220866E0
2.150870256E0,1.211040318E-1,-1.242347240E0,1.195310593E0
2.170870256E0,2.580905706E-2,-1.255786180E0,1.147052169E0
2.190870256E0,-3.588833287E-2,-1.172097683E0,1.072526693E0
2.210870256E0,-3.321579695E-1,-5.942191482E-1,1.369407177E0
2.230869456E0,-9.941831976E-2,3.135266006E-1,1.664455056E0
2.250869456E0,-2.655736506E-1,-2.686280012E-1,1.720654726E0
2.270869456E0,2.426662147E-1,-2.759583890E-1,1.691944003E0
2.290869456E0,2.487748712E-1,-1.843285859E-1,1.596649051E0
2.310869456E0,7.483099122E-3,-1.800525337E-1,1.466534734E0
2.330869922E0,1.027780771E-1,-6.546948552E-1,1.836108208E0
2.350869922E0,3.807217777E-1,-9.656252265E-1,2.159866810E0
2.370869922E0,5.138903856E-1,-9.943358898E-1,2.553874969E0
2.390869922E0,5.902485251E-1,6.185010448E-2,3.920380354E0
2.410869922E0,4.014911950E-1,5.707008839E-1,2.589915991E0
2.430869455E0,2.921462953E-1,1.302670091E-1,2.355343580E0
2.450869455E0,1.553124934E-1,-4.659374654E-1,8.025242090E-1
2.470869455E0,8.261952549E-2,-3.614795208E-1,4.189008474E-1
2.490869455E0,8.506298810E-2,-4.604396820E-1,4.250094891E-1
2.510869455E0,-5.299255997E-2,-1.892155111E-1,2.356412709E-1
2.530869455E0,-1.653917581E-1,-5.203045011E-1,1.397354305E-1
2.550869455E0,-2.099849284E-1,-1.101848245E0,1.556179225E-1
2.570869455E0,-3.749185503E-1,-1.172708511E0,2.405281961E-1
2.590869455E0,-5.496259928E-1,-8.831584454E-1,3.046690524E-1
2.610869455E0,-7.365507483E-1,-6.760751009E-1,4.256203473E-1
2.630870255E0,-9.332493544E-1,-4.946481287E-1,4.885394871E-1
2.650870255E0,-1.125671983E0,-2.698497176E-1,5.459607840E-1
2.670870255E0,-1.291827321E0,1.046106741E-1,5.685628057E-1
2.690870255E0,-1.409724236E0,4.497495294E-1,5.966626406E-1
2.710870255E0,-1.587486029E0,5.804746747E-1,5.752823353E-1
2.730869455E0,-1.784795523E0,4.185954034E-1,4.531092942E-1
2.750869455E0,-1.947285652E0,2.554943860E-1,2.374738604E-1
2.770869455E0,-1.927737951E0,-3.321579695E-1,1.238529310E-1
2.790869455E0,-1.933235765E0,-9.686795473E-1,-9.315694682E-3
2.810869455E0,-1.855655909E0,-1.006553173E0,-1.211040318E-1
2.830869921E0,-1.637577057E0,-1.320537925E0,-2.542726696E-1
2.850869921E0,-1.627192259E0,-1.299768567E0,-3.672827184E-1
2.870869921E0,-1.853823304E0,-1.180649757E0,-4.754058719E-1
2.890869921E0,-1.985159278E0,-1.547779799E0,-6.269004345E-1
2.910869921E0,-1.912466407E0,-1.459815264E0,-9.812023044E-1
2.930869454E0,-1.858099341E0,-1.165378213E0,-1.138194680E0
2.950869454E0,-1.603979468E0,-1.302822828E0,-1.136972904E0
2.970869454E0,-1.359633327E0,-1.509295344E0,-1.089325428E0
2.990869454E0,-1.257007957E0,-1.559997082E0,-9.763153791E-1
3.010869454E0,-1.050535560E0,-1.426828504E0,-7.692320347E-1
3.030869454E0,-7.371616364E-1,-1.156215191E0,-6.110179424E-1
3.050869454E0,-4.738787115E-1,-8.373435140E-1,-5.346598029E-1
3.070869454E0,-2.832887471E-1,-6.455318332E-1,-4.699080884E-1
3.090869454E0,-1.525636017E-1,-5.404630303E-1,-4.149302244E-1
3.110869454E0,-2.794708498E-2,-5.618433356E-1,-3.617849350E-1
3.130870254E0,1.070541367E-1,-5.416847467E-1,-3.428481221E-1
3.150870254E0,2.866485119E-1,-5.099197626E-1,-3.819434941E-1
3.170870254E0,4.631885588E-1,-5.135849714E-1,-4.387539625E-1
3.190870254E0,5.664247870E-1,-5.771149397E-1,-4.595233798E-1
3.210870254E0,6.275113225E-1,-5.593998432E-1,-4.466952085E-1
3.230869454E0,5.456553698E-1,-3.987422884E-1,-3.263547719E-1
3.250869454E0,-2.295326144E-1,-3.712533414E-1,3.283400834E-2
3.270869454E0,-7.744244337E-1,-7.243334651E-1,1.482875347E-1
3.290869454E0,-7.872526050E-1,-1.275333881E0,4.321871698E-2
3.310869454E0,-6.101016402E-1,-1.683391929E0,-8.017606288E-2
3.330869920E0,-2.729040384E-1,-1.497688890E0,-1.571450830E-1
3.350869920E0,2.060143054E-1,-1.103069901E0,-3.281873465E-1
3.370869920E0,5.303837657E-1,-7.811439037E-1,-5.371032953E-1
3.390869920E0,2.206750661E-1,-6.278167367E-1,-5.236642361E-1
3.410869920E0,-1.201877370E-1,-9.949467778E-1,-1.345430762E-1
3.430869453E0,-8.353582025E-2,-3.199406862E-1,-2.554943860E-1
3.450869453E0,2.701551616E-1,1.063669086E0,-1.858557463E-1
3.470869453E0,8.852964640E-1,1.198059440E0,3.132211566E-1
3.490869453E0,1.402699351E0,1.504255682E-1,5.545129180E-1
3.510869453E0,1.670258284E0,-1.061378345E-1,3.541491330E-1
3.530869453E0,1.484555244E0,6.965391040E-1,3.181080818E-1
3.550869453E0,1.098488450E0,1.505935550E0,4.757113159E-1
3.570869453E0,1.048397422E0,1.617723942E0,2.093740702E-1
3.590869453E0,1.235322237E0,1.300684810E0,-2.335032374E-1
3.610869453E0,1.476003170E0,3.587306142E-1,-5.108360648E-1
3.630870253E0,1.460731506E0,-3.711006418E-2,-6.586654782E-1
3.650870253E0,1.366047382E0,4.057672322E-1,-5.859724879E-1
3.670870253E0,1.395368934E0,1.061836481E0,-4.149302244E-1
3.690870253E0,1.515709400E0,1.629941225E0,-1.687515229E-1
3.710870253E0,1.454012036E0,1.744173050E0,9.010262787E-3
3.730869453E0,1.128420830E0,1.787544370E0,4.566217586E-2
3.750869453E0,8.095491529E-1,1.441183805E0,2.901609987E-3
3.770869453E0,6.556110978E-1,6.091853380E-1,-1.603521220E-2
3.790869453E0,4.314235747E-1,-8.903361112E-2,5.360342562E-2
3.810869453E0,3.911064863E-1,-4.518875778E-1,8.231408894E-2
3.830869919E0,4.485278130E-1,-3.627012372E-1,5.360342562E-2
3.850869919E0,5.926920176E-1,1.864666194E-1,1.267545391E-2
3.870869919E0,7.484626174E-1,3.788891733E-1,-1.237002108E-2
3.890869919E0,7.447974682E-1,3.802636266E-2,1.267545391E-2
3.910869919E0,6.598871946E-1,-2.838996351E-1,8.231408894E-2
3.930869452E0,6.788240075E-1,-3.926336467E-1,1.354593635E-1
3.950869452E0,6.867652535E-1,-3.761402667E-1,1.971567571E-1
3.970869452E0,6.653849483E-1,-3.126102984E-1,2.057088763E-1
3.990869452E0,6.281222105E-1,-3.755294085E-1,1.293507218E-1
4.010869452E0,5.920811296E-1,-2.991712391E-1,4.749477282E-2
4.030869452E0,5.474879742E-1,-1.256855279E-1,-6.795875728E-2
4.050869452E0,6.311765313E-1,-2.753475010E-1,-2.237294018E-1
4.070869452E0,5.230533481E-1,-1.069014193E-3,-8.261952549E-2
4.090869452E0,5.444336534E-1,2.580905706E-2,6.948592514E-2
4.110869452E0,6.006332636E-1,6.062837690E-2,1.989893466E-1
4.130870252E0,2.787072659E-1,8.506298810E-2,3.865249753E-1
4.150870252E0,2.031126991E-2,1.437060535E-1,5.086980462E-1
4.170870252E0,-1.012509167E-1,1.186605766E-1,4.470006526E-1
4.190870252E0,-3.633120954E-1,-1.458440721E-1,2.496911734E-1
4.210870252E0,-8.410087228E-1,-5.636758804E-1,1.153008118E-1
4.230869452E0,-1.412167788E0,-8.165740967E-1,3.588833287E-2
4.250869452E0,-1.858710170E0,-4.378376603E-1,2.901609987E-3
4.270869452E0,-2.205681801E0,-8.353582025E-2,1.104138941E-1
4.290869452E0,-2.696206570E0,2.481640130E-1,3.523165286E-1
4.310869452E0,-2.952158928E0,5.994115472E-1,4.036292136E-1
4.330869918E0,-2.864805222E0,1.766927689E-1,3.138320148E-1
4.350869918E0,-2.174527645E0,7.101308554E-2,2.698497176E-1
4.370869918E0,-2.084730387E0,-2.722931802E-1,5.345070735E-3
4.390869918E0,-2.005317926E0,-1.088409185E0,-1.131627858E-1
4.410869918E0,-1.787849903E0,-2.025476456E0,-2.658790946E-1
4.430869451E0,-1.622305393E0,-2.930778742E0,-3.703370690E-1
4.450869451E0,-1.873981833E0,-2.400547743E0,-4.564690590E-1
4.470869451E0,-2.080454350E0,-1.773799896E0,-5.658139586E-1
4.490869451E0,-2.112219334E0,-1.674839735E0,-6.513350606E-1
4.510869451E0,-2.082286835E0,-1.504408360E0,-7.698429227E-1
4.530869451E0,-1.930792332E0,-1.439656615E0,-9.781479836E-1
4.550869451E0,-1.623527050E0,-1.496467113E0,-1.021519423E0
4.570869451E0,-1.183704138E0,-1.731039405E0,-1.039234519E0
4.590869451E0,-8.611672521E-1,-1.690722227E0,-9.598219991E-1
4.610869451E0,-4.879286289E-1,-1.351692080E0,-8.480336666E-1
4.630870251E0,-7.131851465E-2,-8.556694984E-1,-6.714936495E-1
4.650870251E0,2.188424766E-1,-4.011857510E-1,-4.595233798E-1
4.670870251E0,3.672827184E-1,-1.934915632E-1,-2.481640130E-1
4.690870251E0,4.320344329E-1,-2.550362423E-2,-5.451972410E-2
4.710870251E0,4.424191415E-1,1.333213449E-1,8.597928286E-2
4.730869451E0,5.157229900E-1,2.457205504E-1,1.427897513E-1
4.750869451E0,7.594582438E-1,2.383901626E-1,7.192938030E-2
4.770869451E0,9.604328871E-1,1.504255682E-1,4.734205548E-3
4.790869451E0,9.127854109E-1,-1.348485053E-1,-3.802636266E-2
