Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
1.987969500E-2,-1.039199948E0,-1.781099916E0,-1.178399920E0
3.973282000E-2,-9.779999852E-1,-1.648800015E0,-1.000399947E0
5.958594500E-2,-2.845999897E-1,-1.083199978E0,-6.171000004E-1
7.943907000E-2,-1.582999974E-1,-6.933999658E-1,-4.109999910E-2
9.929219500E-2,-2.653000057E-1,-2.824999988E-1,8.039999753E-2
1.191453200E-1,-3.574999869E-1,-2.531999946E-1,4.010000080E-2
1.389968830E-1,-3.300999999E-1,-1.614999920E-1,1.460999995E-1
1.588500080E-1,-1.624999940E-1,-7.530000061E-2,1.880999953E-1
1.787031330E-1,2.150999904E-1,-9.969999641E-2,2.034999877E-1
1.985546950E-1,1.909999996E-1,-5.729999766E-2,-5.040000081E-1
2.184062580E-1,-2.888999879E-1,-2.208999991E-1,-9.822999835E-1
2.382609450E-1,-8.604999781E-1,-3.839999810E-2,-1.079999924E0
2.581125080E-1,-1.112399936E0,1.080999970E-1,-6.681999564E-1
2.779656330E-1,-6.868000031E-1,-3.199999919E-3,-4.763000011E-1
2.978171950E-1,-3.590000048E-2,-2.129999921E-2,-5.572000146E-1
3.176718830E-1,1.077999994E-1,-3.560999930E-1,-7.737999558E-1
3.375234450E-1,-1.621999890E-1,-4.266999960E-1,-9.986999631E-1
3.573750080E-1,-4.226999879E-1,-5.421999693E-1,-9.729999900E-1
3.772296950E-1,-5.859999657E-1,-4.077000022E-1,-6.520999670E-1
3.970812580E-1,-6.765999794E-1,-4.099999964E-1,-6.247000098E-1
4.169328200E-1,-5.848000050E-1,-5.703999996E-1,-7.858999968E-1
4.367859450E-1,-5.900999904E-1,-5.814999938E-1,-1.023800015E0
4.566390700E-1,-8.852999806E-1,-5.273000002E-1,-8.937000036E-1
4.764921950E-1,-1.371099949E0,-6.902999878E-1,-4.007999897E-1
4.963437580E-1,-2.892699957E0,-2.506999969E-1,3.123999834E-1
5.161968830E-1,-3.036999941E0,-4.152999818E-1,9.157999754E-1
5.360500080E-1,-2.749399900E0,-5.870999694E-1,9.158999920E-1
5.559015700E-1,-2.368299961E0,-6.262999773E-1,7.288999557E-1
5.757609450E-1,-2.247699976E0,-1.042599916E0,6.638000011E-1
5.956078200E-1,-2.494799852E0,-7.570999861E-1,6.524999738E-1
6.154593830E-1,-2.295599937E0,-2.601000071E-1,8.316999674E-1
6.353125080E-1,-1.879399896E0,-9.380000085E-2,1.056499958E0
6.551656330E-1,-1.624099970E0,-2.654999793E-1,7.335000038E-1
6.750187580E-1,-9.100999832E-1,-5.888000131E-1,4.271999896E-1
6.948703200E-1,-2.549999952E-2,-3.091999888E-1,-3.137999773E-1
7.147234450E-1,1.104300022E0,-3.752000034E-1,-1.448999941E-1
7.345765700E-1,1.791099906E0,5.716999769E-1,6.024000049E-1
7.544281330E-1,6.710999608E-1,7.978000045E-1,-2.022699833E0
7.742812580E-1,-3.000000026E-3,2.757999897E-1,-2.437299967E0
7.941343830E-1,4.183000028E-1,-1.260000002E-2,-2.060199976E0
8.139859450E-1,1.542599916E0,3.359999880E-2,-1.547099948E0
8.338390700E-1,2.627799988E0,6.219999790E-1,-3.998999894E-1
8.536921950E-1,3.257099867E0,8.432999849E-1,-1.836799979E0
8.735453200E-1,3.357899904E0,7.540999651E-1,-1.878799915E0
8.933968830E-1,2.639799833E0,1.073899984E0,-4.711000025E-1
9.132500080E-1,2.104399920E0,1.594299912E0,3.419999778E-2
9.331015700E-1,1.267799973E0,1.473599911E0,1.324199915E0
9.529546950E-1,7.017999887E-1,7.998999953E-1,6.929000020E-1
9.728078200E-1,-2.168999910E-1,1.607999951E-1,9.468999505E-1
9.926593830E-1,-4.265999794E-1,-7.317999601E-1,1.353999972E-1
1.012512508E0,-5.320000052E-1,-1.221199989E0,-1.175199986E0
1.032364070E0,-8.337000012E-1,-1.447799921E0,-1.960999966E-1
1.052218758E0,-1.122200012E0,-1.961499929E0,1.156999990E-1
1.072071883E0,-4.790000021E-1,-1.260399938E0,-4.275999963E-1
1.091923445E0,-1.451999992E-1,-1.216099977E0,5.689999834E-2
1.111776570E0,-2.823999822E-1,-1.310099959E0,1.139999926E-2
1.131628133E0,-3.614999950E-1,-1.832099915E0,-2.122999877E-1
1.151481258E0,-9.041000009E-1,-2.236700058E0,-2.470999956E-1
1.171334383E0,-8.229999542E-1,-1.873399973E0,-4.763999879E-1
1.191185945E0,2.249999903E-2,-1.291899920E0,-1.114000008E-1
1.211039070E0,5.561000109E-1,-8.608999848E-1,-8.309999853E-2
1.230892195E0,7.630999684E-1,3.329999745E-2,5.699999630E-3
1.250745320E0,1.952499986E0,1.855699897E0,1.926999986E-1
1.270598445E0,1.482800007E0,2.353099823E0,-4.939999804E-2
1.290450008E0,4.939999804E-2,2.431499958E0,4.797999859E-1
1.310301570E0,2.040999979E-1,2.134399891E0,8.023999929E-1
1.330154695E0,9.240999818E-1,8.057000041E-1,7.707999945E-1
1.350007820E0,2.857300043E0,1.932500005E0,-1.396799922E0
1.369860945E0,2.251199961E0,3.825399876E0,-8.086999655E-1
1.389714070E0,9.954999685E-1,4.694699764E0,2.141900063E0
1.409565633E0,7.358999848E-1,4.457399845E0,1.599099994E0
1.429418758E0,-9.582999945E-1,1.911399961E0,1.147899985E0
1.449270320E0,-4.193699837E0,-7.611399651E0,4.537999928E-1
1.469123445E0,-2.182399988E0,-1.223469925E1,-1.373099923E0
1.488975008E0,6.420999765E-1,-6.795499802E0,-1.478999972E0
1.508828133E0,2.652099848E0,1.504999995E-1,-9.677000046E-1
1.528681258E0,2.673599958E0,2.528699875E0,-6.611999869E-1
1.548534383E0,5.794000030E-1,9.116999507E-1,-1.473999918E-1
1.568385945E0,-8.366999626E-1,-1.852299929E0,3.428999782E-1
1.588239070E0,-9.099999815E-2,-3.256399870E0,6.826999784E-1
1.608092195E0,1.367200017E0,-3.504999876E0,6.104999781E-1
1.627945320E0,7.415999770E-1,-5.715999603E-1,3.253999949E-1
1.647796883E0,-4.645999968E-1,6.809999943E-1,2.569999993E-1
1.667650008E0,-7.731999755E-1,1.781999916E-1,3.134000003E-1
1.687507820E0,-2.126999944E-1,-5.013999939E-1,2.549000084E-1
1.707354695E0,4.477999806E-1,-7.443000078E-1,2.901999950E-1
1.727207820E0,1.636999995E-1,-1.006899953E0,4.041999876E-1
1.747060945E0,3.382099867E0,-7.666999698E-1,-5.812000036E-1
1.766912508E0,3.052699804E0,3.730999827E-1,-4.174999893E-1
1.786765633E0,-7.680999637E-1,3.333999813E-1,1.347000003E-1
1.806618758E0,-1.818599939E0,-3.312000036E-1,-7.310000062E-2
1.826470320E0,-1.625999928E0,-2.291999906E-1,-1.410999894E-1
1.846323445E0,-5.659999847E-1,7.459999621E-2,-3.558000028E-1
1.866176570E0,5.381999612E-1,1.990999877E-1,-4.335999787E-1
1.886028133E0,6.019999981E-1,3.129000068E-1,-3.145000041E-1
1.905881258E0,-2.268999964E-1,1.919999905E-2,2.949000001E-1
1.925734383E0,-3.179999813E-2,-2.683999836E-1,4.981999993E-1
1.945587508E0,-2.872000039E-1,-3.379999995E-1,3.658999801E-1
1.965439070E0,-1.291999966E-1,-1.578999907E-1,3.172999918E-1
1.985292195E0,1.569999941E-2,-2.080000006E-2,-3.949999809E-2
2.005145320E0,2.509000003E-1,1.459999941E-2,-4.490000010E-2
2.024996883E0,4.194999933E-1,2.989999950E-2,3.610000014E-2
2.044850008E0,2.667999864E-1,-3.608999848E-1,-6.019999832E-2
2.064703133E0,2.390999943E-1,-4.788999856E-1,1.251000017E-1
2.084556258E0,-1.916999966E-1,-1.208999977E-1,-2.149999887E-1
2.104407820E0,-3.061999977E-1,-3.828999996E-1,-3.892000020E-1
2.124260945E0,-2.026999891E-1,-6.814999580E-1,-2.692999840E-1
2.144114070E0,-1.935999990E-1,-1.175999999E0,-1.453000009E-1
2.163965633E0,-4.535999894E-1,-2.247699976E0,-1.286000013E-1
2.183818758E0,-6.406999826E-1,-3.111799955E0,1.996999979E-1
2.203671883E0,-5.965999961E-1,-2.840099812E0,3.813000023E-1
2.223523445E0,-2.202999890E-1,-2.503700018E0,5.777999759E-1
2.243376570E0,3.288999796E-1,-2.356999874E0,1.123000026E0
2.263229695E0,7.008000016E-1,-1.985499978E0,1.309599996E0
2.283081258E0,5.105000138E-1,-1.279299974E0,6.570999622E-1
2.302934383E0,1.489999890E-1,-5.266000032E-1,5.306999683E-1
2.322792195E0,5.899999756E-3,4.734999835E-1,-9.529999644E-2
2.342639070E0,-2.453999966E-1,8.658999801E-1,-8.853999972E-1
2.362492195E0,-1.410000026E-1,1.221699953E0,-1.769199967E0
2.382343758E0,6.726999879E-1,1.543599963E0,-1.069700003E0
2.402198445E0,1.550400019E0,9.344999790E-1,2.113000005E-1
2.422050008E0,1.458999991E0,-3.678999841E-1,-2.518000007E-1
2.441903133E0,8.788999915E-1,-1.750299931E0,2.102999985E-1
2.461754695E0,-1.523000002E-1,-2.650499821E0,-2.500999868E-1
2.481607820E0,-3.619999811E-2,-3.043499947E0,-5.748999715E-1
2.501460945E0,-4.940999746E-1,-2.498499870E0,-2.497999966E-1
2.521314070E0,-6.398000121E-1,-2.207200050E0,8.319999576E-1
2.541165633E0,-9.812999964E-1,-2.651799917E0,1.316200018E0
2.561018758E0,-8.750999570E-1,-2.455399990E0,9.643999934E-1
2.580870320E0,-8.229999989E-2,-1.461199999E0,5.753999949E-1
