Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
5.932616000E-2,2.215724468E0,3.201407433E0,-6.406841278E-1
7.932616000E-2,2.190673828E0,3.207296371E0,-6.299452782E-1
9.932616000E-2,2.137202263E0,3.265313148E0,-6.951451302E-1
1.193261600E-1,2.180567741E0,3.263576508E0,-7.299561501E-1
1.393261600E-1,2.374292374E0,3.204294205E0,-7.914099693E-1
1.593261600E-1,2.679155350E0,3.101069927E0,-8.910908699E-1
1.793261600E-1,3.008731842E0,2.961053848E0,-9.744062424E-1
1.993261600E-1,3.281759262E0,2.836538792E0,-1.053134441E0
2.193261600E-1,3.447561264E0,2.763231277E0,-1.118136644E0
2.393261600E-1,3.531590939E0,2.744281769E0,-1.192438841E0
2.593261600E-1,3.589028835E0,2.756387711E0,-1.298337221E0
2.793261600E-1,3.695303440E0,2.763935089E0,-1.472261190E0
2.993261600E-1,3.812550545E0,2.774604797E0,-1.684837103E0
3.193274100E-1,3.887507439E0,2.840882778E0,-1.985494137E0
3.393274100E-1,3.937423229E0,2.902589798E0,-2.258556366E0
3.593274100E-1,3.992969513E0,2.920264244E0,-2.434111118E0
3.793274100E-1,4.062799931E0,2.914994240E0,-2.581043005E0
3.993274100E-1,4.121629238E0,2.912384033E0,-2.721012592E0
4.193274100E-1,4.147987843E0,2.920492172E0,-2.822464466E0
4.393274100E-1,5.803996563E0,1.123115444E1,1.049975014E1
4.593274100E-1,5.639920235E0,1.160561180E1,9.757803917E0
4.793274100E-1,5.887215614E0,1.222669983E1,8.656687737E0
4.993274100E-1,6.050216675E0,1.319234753E1,8.483314514E0
5.193274100E-1,6.756278038E0,1.362521172E1,9.657124519E0
5.393274100E-1,7.789075375E0,1.339412212E1,1.017803478E1
5.593274100E-1,7.772396088E0,1.299225426E1,1.131793022E1
5.793274100E-1,7.678545952E0,1.335174179E1,1.098089790E1
5.993274100E-1,8.050113678E0,1.364448261E1,9.986750603E0
6.193282980E-1,8.081151962E0,1.442782402E1,8.960140228E0
6.393282980E-1,5.973278522E0,1.554657841E1,8.237024307E0
6.593282980E-1,3.815971851E0,1.607716370E1,7.525069237E0
6.793282980E-1,1.043550491E0,1.496326828E1,6.288147449E0
6.993282980E-1,4.159708500E0,1.433275986E1,7.017716408E0
7.193282980E-1,4.608978748E0,1.519764709E1,9.086251259E0
7.393282980E-1,4.420570850E0,1.543370628E1,9.973552704E0
7.593282980E-1,5.206648350E0,1.577330971E1,8.194279671E0
7.793282980E-1,4.919627190E0,1.604454041E1,5.661436081E0
7.993282980E-1,4.858844280E0,1.595342827E1,6.415499687E0
8.193287980E-1,4.911607265E0,1.514921951E1,7.328339577E0
8.393287980E-1,5.496666431E0,1.583517838E1,7.179670334E0
8.593287980E-1,5.346729755E0,1.645863342E1,6.253257275E0
8.793287980E-1,4.891950607E0,1.640106583E1,6.053524971E0
8.993287980E-1,4.896813869E0,1.587546539E1,6.555886269E0
9.193282980E-1,5.272547245E0,1.562962532E1,6.531785011E0
9.393282980E-1,5.718459606E0,1.595065975E1,4.707285881E0
9.593282980E-1,5.318536282E0,1.712450790E1,3.669038773E0
9.793282980E-1,4.858551979E0,1.587355614E1,4.074342251E0
9.993282980E-1,4.328433990E0,1.527761269E1,5.185976028E0
1.019328298E0,4.979526997E0,1.623934174E1,5.476598740E0
1.039328298E0,4.942326546E0,1.679855537E1,3.895663738E0
1.059328298E0,4.834819317E0,1.620102310E1,3.543793917E0
1.079328298E0,5.007551670E0,1.573950768E1,3.450095177E0
