"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.148079167E-2,1.188366115E-1,2.663787901E-1,-1.285203993E-1
3.137879167E-2,-2.153140455E-1,4.107199907E-1,-1.185338721E-1
5.127779167E-2,-5.934851170E-1,7.773587108E-1,-3.572542593E-2
7.117579167E-2,-8.792789578E-1,1.294838309E0,6.921666861E-2
9.107479167E-2,-1.037699580E0,1.542346358E0,1.176442355E-1
1.109727917E-1,-1.260598898E0,1.515102744E0,1.417627037E-1
1.308717917E-1,-9.601652026E-1,1.757292271E0,2.300829291E-1
1.507697917E-1,-6.106358767E-1,1.994818211E0,7.044813037E-1
1.706687917E-1,-6.546905637E-1,1.798118472E0,9.344024062E-1
1.905667917E-1,-7.172451019E-1,1.573527455E0,9.061539173E-1
2.104657917E-1,-7.808243632E-1,1.233918548E0,8.142528534E-1
2.303637917E-1,-6.933524013E-1,3.298560381E-1,6.910071373E-1
2.502627917E-1,-3.973093629E-1,-6.418398023E-1,5.080899596E-1
2.701607917E-1,-3.184841871E-1,-1.131682277E0,-1.627144516E-1
2.900597917E-1,-4.208413363E-1,-1.975746751E-1,-7.919325233E-1
3.099577917E-1,-3.184509277E-1,1.368057370E0,1.029513329E-1
3.298567917E-1,-3.829816878E-1,3.331807852E0,8.798239231E-1
3.497547917E-1,-3.163134754E-1,4.158394814E0,1.727322459E0
3.696537917E-1,-3.681125641E-1,2.447875023E0,1.939743042E0
3.895517917E-1,-7.314432859E-1,1.795785189E0,1.155490518E0
4.094508750E-1,1.316479314E-2,1.857059836E0,1.862314790E-1
4.293488750E-1,-5.359991789E-1,4.477435052E-1,-4.554734752E-2
4.492478750E-1,-1.523625374E0,1.276268840E0,-1.368176490E-1
4.691458750E-1,-1.676165223E0,1.292183161E0,-1.758647151E-2
4.890448750E-1,-1.479300737E0,8.171308637E-1,-2.476849854E-1
5.089428750E-1,-1.093333960E0,8.002077937E-1,-7.167076468E-1
5.288418750E-1,-7.821267843E-1,1.124844432E0,-5.985452533E-1
5.487398750E-1,-5.845442414E-1,1.165052652E0,-1.717434973E-1
5.686388750E-1,-3.696083724E-1,1.060216784E0,1.970249414E-2
5.885368750E-1,9.469741583E-2,8.535323739E-1,5.567983724E-3
6.084358750E-1,2.292656600E-1,1.178023338E0,-2.599348128E-1
6.283338750E-1,6.916038990E-1,7.793238759E-1,-5.629330277E-1
6.482328750E-1,1.448045611E0,-1.002952680E-1,-5.347349644E-1
6.681308750E-1,1.594236493E0,-1.079431534E0,-3.390675485E-1
6.880298750E-1,7.845490575E-1,-1.036832690E0,-8.121820539E-2
7.079278750E-1,-1.058597788E-1,-2.851892114E-1,-9.652363509E-2
7.278268750E-1,-1.097430468E0,1.083287477E0,-5.517053008E-1
7.477248750E-1,-2.102838516E0,1.617093563E0,-1.255215645E0
7.676238750E-1,-3.587797165E0,1.466635346E0,-2.339251518E0
7.875218750E-1,-5.158551216E0,2.042542219E0,-2.851740837E0
8.074208750E-1,-4.679306507E0,3.171039343E0,-2.462913275E0
8.273188750E-1,-3.124410629E0,3.724686146E0,-2.176615000E0
8.472178750E-1,-1.679901600E0,3.452517986E0,-2.039285660E0
8.671158750E-1,-1.154680014E0,2.668277502E0,-1.919021606E0
8.870148750E-1,-1.037127018E0,1.961075425E0,-1.824634314E0
9.069128750E-1,-9.142503738E-1,1.553950191E0,-1.831809521E0
9.268118750E-1,-7.716943026E-1,1.545940638E0,-1.785844684E0
9.467098750E-1,-6.003366113E-1,1.756906986E0,-1.690161347E0
9.666088750E-1,-5.075932741E-1,1.868549228E0,-1.551592350E0
9.865068750E-1,-3.757547438E-1,1.915145874E0,-1.514420390E0
1.006405875E0,-1.990280598E-1,1.827861905E0,-1.538509130E0
1.026303875E0,-5.931089818E-2,1.689625382E0,-1.638460994E0
1.046202875E0,-1.011579260E-1,1.649243355E0,-1.693463206E0
1.066100875E0,-2.678385377E-1,1.591478586E0,-1.457407951E0
1.085999875E0,-4.340925515E-1,1.547039270E0,-1.052329421E0
1.105897875E0,-4.992400706E-1,1.466182470E0,-6.330639720E-1
1.125796875E0,-5.278865695E-1,1.453392982E0,-4.171657860E-1
1.145695875E0,-5.976144671E-1,1.512449622E0,-4.367534518E-1
1.165593875E0,-6.122767329E-1,1.524615765E0,-3.929597139E-1
1.185492875E0,-6.543449163E-1,1.294111967E0,-3.847626597E-2
1.205390875E0,-7.880113125E-1,9.420952201E-1,3.327798247E-1
1.225289875E0,-1.120781183E0,7.595549822E-1,5.315917134E-1
1.245187875E0,-1.604752541E0,6.691303253E-1,4.167626500E-1
1.265086875E0,-1.992506504E0,4.185359776E-1,2.099306732E-1
1.284984875E0,-2.191444397E0,2.220479995E-1,3.445508480E-1
1.304883875E0,-2.182919264E0,2.459694631E-2,5.412827134E-1
1.324781875E0,-2.197631598E0,1.553257741E-2,8.422557712E-1
1.344680875E0,-2.265942335E0,5.013961717E-2,1.119946003E0
1.364578875E0,-2.242035389E0,-2.631016262E-2,1.288977981E0
1.384477875E0,-2.138005972E0,3.877262026E-2,1.386569858E0
1.404374792E0,-1.901090264E0,1.728652269E-1,1.252553582E0
1.424273792E0,-1.642888188E0,2.886129022E-1,1.049444318E0
1.444172792E0,-1.442785740E0,4.006460011E-1,9.244781137E-1
1.464070792E0,-1.300421953E0,3.948229849E-1,6.562944651E-1
1.483969792E0,-1.231245637E0,1.809218824E-1,4.078923762E-1
1.503867792E0,-1.102564573E0,-2.699973881E-1,1.804426908E-1
1.523766792E0,-8.413341045E-1,-4.005021453E-1,-2.220900543E-2
1.543664792E0,-6.158902645E-1,-3.637395799E-1,-1.222816706E-1
1.563563792E0,6.169353127E-1,1.003997996E-1,-4.990288019E-1
1.583461792E0,4.458022714E-1,3.747000694E-1,-2.933599949E-1
1.603360792E0,-3.065585531E-2,-3.226232156E-2,-2.815659344E-1
1.623259792E0,-1.948774010E-1,2.894605044E-3,-1.954841018E-1
1.643157792E0,-2.870142460E-1,4.373158142E-2,-1.794791669E-1
1.663056792E0,-3.986300528E-1,-3.380744159E-2,-1.727090925E-1
1.682954792E0,-4.819651246E-1,1.773690246E-2,-1.735852808E-1
1.702853792E0,-3.749739230E-1,-7.627078891E-2,-4.167803004E-2
1.722751792E0,-3.008454144E-1,-2.631093264E-1,-2.371838689E-2
1.742650792E0,-2.268049717E-1,-3.106169701E-1,-1.347661614E-1
1.762548792E0,-1.566867381E-1,-4.234510958E-1,-2.104426920E-1
1.782447792E0,-1.455133855E-1,-3.455251157E-1,-2.814198732E-1
1.802346792E0,-2.485710233E-1,-1.673116982E-1,-4.034614563E-1
1.822244792E0,-3.050360382E-1,-6.149682403E-2,-4.215487242E-1
1.842143792E0,-2.324399501E-1,-1.123278588E-1,-3.039993942E-1
1.862041792E0,-1.517190933E-1,-1.273325384E-1,-1.761826724E-1
1.881940792E0,-1.039520130E-1,1.297896169E-2,-1.075083688E-1
1.901838792E0,-1.317380369E-1,7.465544343E-2,9.042792767E-2
1.921737792E0,-1.335468590E-1,1.874533743E-1,8.989635855E-2
1.941636792E0,-2.395264655E-1,2.170878798E-1,-1.672718823E-1
1.961534792E0,-3.239431381E-1,1.339222044E-1,-3.872277737E-1
1.981433792E0,-4.035608172E-1,-5.011180416E-2,-4.919889569E-1
2.001331792E0,-3.807470500E-1,-5.609350652E-2,-5.708497167E-1
2.021230792E0,-4.290995002E-1,-8.469561487E-2,-5.825592279E-1
2.041129792E0,-4.195765257E-1,-4.258356988E-2,-5.773226023E-1
2.061027792E0,-3.623039126E-1,-3.122041523E-1,-5.223921537E-1
2.080926792E0,-3.582513630E-1,-4.332674146E-1,-4.957321286E-1
2.100824792E0,-4.995400012E-1,-2.875344455E-1,-7.462173104E-1
2.120723792E0,-3.603929579E-1,-1.512343287E-1,-8.505945206E-1
2.140621792E0,-4.022623003E-1,-3.090692498E-2,-9.163856506E-1
2.160520792E0,-1.639737040E-1,1.250938624E-1,-8.921007514E-1
2.180419792E0,4.307404757E-1,3.057808876E-1,-4.389969110E-1
2.200317792E0,5.945183039E-1,-3.276178986E-2,-3.117746711E-1
2.220216792E0,3.941459060E-1,2.252572961E-2,-6.079239249E-1
2.240114792E0,1.768395454E-1,-1.193385273E-1,-8.251491189E-1
2.260013792E0,-6.286077946E-2,-1.624994874E-1,-9.237989783E-1
2.279912792E0,-2.282590121E-1,-1.554648280E-1,-1.022207737E0
2.299810792E0,-2.249609530E-1,-5.191638600E-3,-1.247072339E0
2.319709792E0,2.116904594E-2,3.342734873E-1,-1.256153703E0
2.339607792E0,4.195412099E-1,1.570596397E-1,-1.157945514E0
2.359506792E0,5.414324403E-1,-6.953492761E-2,-1.080918550E0
2.379405792E0,4.862468541E-1,-1.759018302E-1,-1.092469811E0
2.399303792E0,2.137083113E-1,-2.656019107E-2,-1.189191699E0
2.419203125E0,-2.401650995E-1,2.010251433E-1,-1.242293954E0
2.439102125E0,-8.839053512E-1,2.295880811E-3,-1.024168372E0
2.459000125E0,-8.925241828E-1,2.528398298E-2,-7.585784197E-1
2.478899125E0,-8.948639035E-1,-1.221477985E-1,-7.484787703E-1
2.498797125E0,-8.085899353E-1,-1.206662357E-1,-8.928110600E-1
2.518696125E0,-5.886211991E-1,1.758628637E-1,-1.000360012E0
2.538595125E0,-3.157190382E-1,3.973892033E-1,-9.659835100E-1
2.558493125E0,-1.013035402E-1,4.992929101E-1,-1.047357082E0
2.578392125E0,6.114074588E-2,7.336652279E-1,-1.052119493E0
2.598291125E0,3.409877717E-1,7.972183824E-1,-9.536423087E-1
2.618189125E0,3.565106094E-1,6.836550832E-1,-7.467334270E-1
2.638088125E0,1.954235882E-1,3.464075029E-1,-3.404606581E-1
2.657986125E0,2.712456882E-2,1.037890464E-1,-6.951749325E-3
2.677885125E0,2.661763877E-2,6.339345127E-2,-9.597019106E-2
2.697784125E0,3.114204854E-2,-1.255999655E-1,2.237373888E-1
2.717682125E0,-6.503536552E-2,-2.387911528E-1,7.615135908E-1
2.737581125E0,-2.687060460E-2,-2.448099405E-1,9.830874205E-1
2.757480125E0,1.095704287E-1,-5.169098973E-1,1.090756878E-1
2.777378125E0,3.243314922E-1,-6.851279736E-1,-8.092046380E-1
2.797277125E0,4.797459245E-1,-5.319627523E-1,-1.674820662E0
2.817176125E0,-1.773638874E-1,-4.472687095E-2,-7.429268956E-1
2.837074125E0,-5.259402394E-1,-5.223644972E-1,-4.091020823E-1
2.856973125E0,-7.263612747E-1,-4.592883289E-1,-4.152694941E-1
2.876872125E0,-4.166114926E-1,-3.521408141E-1,1.139229685E-1
2.896770125E0,1.272487938E-1,1.132207215E-1,1.106870174E-1
2.916669125E0,3.532527089E-1,3.262784183E-1,7.465945184E-2
2.936568125E0,2.663102150E-1,2.670670450E-1,4.378681257E-2
2.956466125E0,7.630920410E-2,1.117333546E-1,7.123164088E-2
2.976365125E0,1.137610525E-3,-1.467397362E-1,8.646763861E-2
2.996264125E0,-3.555645049E-2,-3.084212542E-1,-1.114535779E-1
3.016163125E0,1.407434791E-2,-2.768671215E-1,-1.124011949E-1
3.036061125E0,6.925575435E-2,6.455899030E-2,5.540841725E-3
3.055960125E0,-8.146497421E-3,1.880228370E-1,1.192166749E-2
3.075859125E0,-3.562280536E-1,-4.657709599E-2,-1.115776412E-2
3.095757125E0,-5.641251802E-1,-1.091318801E-1,-1.371599827E-2
3.115656125E0,-6.397483349E-1,-2.940811515E-1,-7.151064277E-2
3.135555125E0,-3.774817884E-1,-4.061504304E-1,-6.645995378E-2
3.155454125E0,-6.923225522E-2,-3.789824545E-1,-5.834631249E-2
3.175352125E0,-3.994235024E-2,-2.242519408E-1,-4.835142195E-2
3.195251125E0,1.676518656E-2,-1.453110725E-1,7.195980847E-2
3.215150125E0,6.818970442E-1,-9.393022209E-2,-4.003086090E-1
3.235048125E0,2.303286195E-1,2.035342008E-1,-8.100997210E-1
3.254947125E0,-3.321701288E-1,3.342317417E-3,-1.191519380E0
3.274846125E0,-5.252066255E-1,-3.335869014E-1,-1.043854237E0
3.294745125E0,-1.153965592E-1,-9.484973550E-2,-8.514065146E-1
3.314643125E0,1.772030592E-1,1.645676941E-1,-8.049094081E-1
3.334542125E0,1.537218243E-1,-3.065742254E-1,-8.856218457E-1
3.354441125E0,-1.282714754E-1,-3.195272982E-1,-8.987987638E-1
3.374339125E0,2.989942431E-1,-8.655043840E-1,-9.261691570E-1
3.394238125E0,4.725506529E-3,-2.727722228E-1,-1.341544628E0
3.414136875E0,7.083703876E-1,-6.828359962E-1,-1.316941977E0
3.434035875E0,3.219664693E-1,-6.408883929E-1,-1.560102105E0
3.453933875E0,-2.066400051E-1,-1.850277334E-1,-1.928926110E0
3.473832875E0,-1.411065310E-1,-2.655253112E-1,-1.351704717E0
3.493731875E0,-2.768998146E-1,-2.046388760E-2,-9.253587127E-1
3.513630875E0,2.709843814E-1,-7.328317761E-1,-1.813790500E-1
3.533528875E0,4.808739722E-1,-1.774978399E0,-1.458566189E-1
3.553427875E0,-2.365159988E-1,-1.018704891E0,-6.878545880E-1
3.573326875E0,-3.869707584E-1,2.171349153E-2,-4.573753178E-1
3.593225875E0,-4.967027009E-1,-2.471404374E-1,-2.752056718E-1
3.613124875E0,-4.604532719E-1,-7.011830211E-1,-4.177650511E-1
3.633022875E0,-3.152982146E-2,-3.968483806E-1,-6.479680538E-1
3.652921875E0,1.343446374E-1,-6.268339157E-1,-1.065309048E0
3.672820875E0,5.008260161E-2,-6.089021564E-1,-1.475769401E0
3.692719875E0,3.732758015E-2,-1.201175451E0,-1.654420495E0
3.712617875E0,-3.891948760E-1,-1.352270365E0,-1.488656521E0
3.732516875E0,-2.474907488E-1,-1.009557366E0,-1.349594951E0
3.752415875E0,1.472551823E-1,-1.393521905E0,-1.551242828E0
3.772314875E0,1.081844717E-1,-1.483828902E0,-1.577566028E0
3.792212875E0,-1.078580618E-1,-1.029244661E0,-1.332090735E0
3.812111875E0,6.488654017E-2,-9.390721321E-1,-8.654882312E-1
3.832010875E0,3.345811367E-1,-9.880765080E-1,-3.486238122E-1
3.851909875E0,3.421776891E-1,-5.869697928E-1,-3.852161393E-2
3.871808875E0,3.145225644E-1,-4.276480377E-1,1.392782032E-1
3.891706875E0,4.055517614E-1,-4.211229980E-1,3.660745919E-1
3.911605875E0,4.874394536E-1,-1.031655595E-1,6.571483612E-1
3.931504875E0,5.956624150E-1,1.523714513E-1,6.986446381E-1
3.951403875E0,7.730014324E-1,-3.590799570E-1,-5.261617154E-2
3.971302875E0,1.107352853E0,-7.096097469E-1,-1.450303644E-1
3.991200875E0,1.323555827E0,-9.451840520E-1,4.947559908E-2
4.011099875E0,1.377822280E0,-1.102017164E0,3.006947041E-1
4.030998875E0,1.494668245E0,-1.306707382E0,4.349540174E-1
4.050897875E0,1.743719220E0,-1.402071238E0,4.354708791E-1
4.070795875E0,1.969728947E0,-1.599080920E0,3.294497430E-1
4.090694875E0,1.770436287E0,-1.739820242E0,2.878032625E-1
4.110593875E0,1.457085013E0,-1.902186036E0,1.936827451E-1
4.130492875E0,1.367039561E0,-1.643720269E0,2.834328115E-1
4.150391875E0,1.163287520E0,-1.149994612E0,4.663244784E-1
4.170290875E0,9.301850796E-1,-1.007694006E0,5.990132689E-1
4.190188875E0,8.180006742E-1,-1.118340373E0,5.295617580E-1
4.210087875E0,6.602970958E-1,-1.019799590E0,3.890523314E-1
4.229986875E0,6.070023179E-1,-7.835197449E-1,3.212539256E-1
4.249885875E0,5.408957601E-1,-5.772649050E-1,2.826762795E-1
4.269784875E0,4.390852451E-1,-4.955349267E-1,2.105920613E-1
4.289682875E0,3.091354072E-1,-4.338579178E-1,1.669419259E-1
4.309581875E0,1.940883547E-1,-3.586766720E-1,2.171831727E-1
4.329480875E0,8.803965151E-2,-2.416857183E-1,2.703911960E-1
4.349379875E0,7.366570830E-2,-2.158030421E-1,2.310241759E-1
4.369278875E0,6.794486940E-2,-2.676875889E-1,1.291912049E-1
4.389176875E0,2.922570333E-2,-3.863221109E-1,8.013097942E-2
4.409076500E0,4.424822330E-2,-3.906372488E-1,3.689808026E-2
4.428975500E0,-2.681219950E-2,-3.267111778E-1,1.692717522E-2
4.448874500E0,-8.589824289E-2,-1.700206101E-1,-1.763253808E-1
4.468773500E0,-2.260672599E-1,-2.942031026E-1,-6.775779184E-4
4.488672500E0,-1.907632649E-1,-2.974257469E-1,5.149288103E-2
4.508570500E0,-2.716140151E-1,-1.535063535E-1,-8.786049485E-2
4.528469500E0,-4.201706648E-1,3.441413045E-1,-2.782428861E-1
4.548368500E0,-6.490020156E-1,3.705123961E-1,-2.551827729E-1
4.568267500E0,-7.129331827E-1,-2.319715619E-1,-1.978292689E-2
4.588166500E0,-6.991984248E-1,-7.263494134E-1,1.447413862E-1
4.608065500E0,-8.592339158E-1,-5.608857870E-1,2.966056764E-1
4.627963500E0,-1.177091241E0,-1.443913728E-1,5.155598521E-1
4.647862500E0,-1.393153548E0,3.808056414E-1,5.570592880E-1
4.667761500E0,-1.230767608E0,9.517654181E-1,3.689542413E-1
4.687660500E0,-8.438056111E-1,1.366030335E0,2.885940075E-1
4.707559500E0,-5.704332590E-1,8.417382836E-1,3.100090921E-1
4.727458500E0,-9.977434576E-2,-5.006908774E-1,2.337581515E-1
4.747356500E0,-4.874702990E-1,2.893573642E-1,1.995538361E-2
4.767255500E0,-1.345172763E0,1.725482225E0,-2.934901789E-2
4.787154500E0,-1.451156259E0,2.165879726E0,-2.515979409E-1
4.807053500E0,-1.140495420E0,1.522870779E0,-1.710916013E-1
4.826952500E0,-9.541925192E-1,1.384084225E0,1.622803360E-1
4.846851500E0,-1.080518961E0,1.491912484E0,3.544604778E-1
4.866749500E0,-1.233990550E0,1.188190460E0,3.392258584E-1
4.886648500E0,-7.347612977E-1,4.941907227E-1,2.122617513E-1
4.906547500E0,-3.924242556E-1,3.220416903E-1,8.673685789E-2
4.926446500E0,-5.744096041E-1,7.415395379E-1,2.140444849E-5
4.946345500E0,-7.232475877E-1,1.216037750E0,-6.579691172E-2
4.966244500E0,-8.057715893E-1,1.130600333E0,-4.326572642E-2
4.986143500E0,-7.433103919E-1,7.705568671E-1,-3.621374443E-2
5.006041500E0,-6.248760223E-1,4.699783921E-1,-1.383309346E-2
5.025940500E0,-5.706341863E-1,2.474795282E-1,7.711338997E-2
5.045839500E0,-6.036219597E-1,1.032999679E-1,1.276467144E-1
5.065738500E0,-6.793931127E-1,8.993484825E-2,1.246379986E-1
5.085637500E0,-8.004843593E-1,4.549564049E-2,1.209413558E-1
5.105536500E0,-7.078930736E-1,-2.211827189E-1,9.562750906E-2
5.125435500E0,-5.801397562E-1,-3.379363120E-1,5.686976388E-2
5.145333500E0,-6.128940582E-1,-2.089422941E-1,2.734676749E-2
5.165232500E0,-6.520325541E-1,-1.033357754E-1,-3.799826605E-3
