Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
5.917424500E-2,-3.756188631E0,4.814538956E0,-3.059871674E0
7.917224500E-2,-3.631492138E0,4.983251095E0,-3.054634094E0
9.917024500E-2,-3.651017666E0,5.166200638E0,-3.049863815E0
1.191682450E-1,-3.968588114E0,5.308988571E0,-3.047917366E0
1.391662450E-1,-4.644720554E0,5.398921490E0,-3.018226624E0
1.591637450E-1,-5.402060509E0,5.582632542E0,-2.921439171E0
1.791613450E-1,-5.796009541E0,5.727782249E0,-2.840959549E0
1.991590110E-1,-5.986747265E0,5.852079391E0,-2.789228439E0
2.191571530E-1,-6.023231506E0,5.935691833E0,-2.771643639E0
2.391552780E-1,-6.071102142E0,6.001304150E0,-2.752937317E0
2.591533890E-1,-6.138638496E0,6.101747990E0,-2.724207878E0
2.791514890E-1,-6.238560677E0,6.318357468E0,-2.667870522E0
2.991493980E-1,-6.414564610E0,6.695462704E0,-2.553848267E0
3.191473140E-1,-6.675407410E0,7.116003990E0,-2.383708954E0
3.391452370E-1,-6.894578934E0,7.412284374E0,-2.234051704E0
3.591433080E-1,-7.119032383E0,7.547754288E0,-2.116288185E0
3.791411080E-1,-7.408409119E0,7.587857246E0,-1.994740486E0
3.991389200E-1,-7.787138462E0,7.590271473E0,-1.834542274E0
4.191367430E-1,-8.128347397E0,7.527165413E0,-1.694514275E0
4.391344650E-1,-4.026731014E0,4.029784203E0,2.812391281E0
4.591322010E-1,-1.296163797E0,-3.847978115E0,2.500921249E0
4.791299510E-1,-1.857092619E0,-4.259998798E0,2.750447273E0
4.991277120E-1,-9.436664581E-1,-3.263926506E0,3.220891476E0
5.191253930E-1,-3.843240738E-1,-3.195699453E0,2.198974609E0
5.391230880E-1,8.759260178E-2,-3.078500032E0,1.207517624E0
5.591207960E-1,8.403515816E-1,-2.040443897E0,4.747200012E-1
5.791184360E-1,5.406475067E-1,-2.058588028E0,-1.465482712E-1
5.991160890E-1,-3.852715492E-1,-2.860392809E0,8.250141144E-2
6.191137920E-1,-1.620389223E0,-3.210971594E0,1.460385323E-1
6.391115060E-1,-6.572117805E-1,-2.186071157E0,2.730607986E-2
6.591091610E-1,9.503417015E-1,-4.853634834E-1,-7.002592087E-2
