Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
4.886772600E-2,-1.278106093E0,1.428624821E1,9.417699814E0
7.086772600E-2,-1.300923347E0,1.428791618E1,9.426475525E0
9.086772600E-2,-1.335395217E0,1.429362583E1,9.413150787E0
1.108677260E-1,-1.367153406E0,1.429357052E1,9.442761421E0
1.308677260E-1,-1.395162821E0,1.428943443E1,9.499114037E0
1.508677260E-1,-1.451354384E0,1.428914452E1,9.546098709E0
1.708677260E-1,-1.532288194E0,1.429348087E1,9.573107719E0
1.908677260E-1,-1.624614596E0,1.429730034E1,9.605341911E0
2.108677260E-1,-1.692540169E0,1.428890228E1,9.700319290E0
2.308677260E-1,-1.727501631E0,1.425817680E1,9.905312538E0
2.508677260E-1,-1.759409189E0,1.420759010E1,1.018542862E1
2.708677260E-1,-1.757785320E0,1.414360523E1,1.047571945E1
2.908677260E-1,-1.701505542E0,1.406799698E1,1.075886154E1
3.108677260E-1,-1.582981467E0,1.396980381E1,1.106680775E1
3.308688020E-1,-1.437013507E0,1.385279083E1,1.138361359E1
3.508688020E-1,-1.354273200E0,1.376578903E1,1.160162544E1
3.708688020E-1,-1.341651678E0,1.373280907E1,1.168568420E1
3.908688020E-1,-1.385972500E0,1.375091839E1,1.165171814E1
4.108688020E-1,-1.483338356E0,1.381423664E1,1.150826454E1
4.308688020E-1,1.440482020E0,9.567649841E0,1.141836929E1
4.508688020E-1,5.302636623E-1,9.276577950E0,1.086651516E1
4.708688020E-1,1.611871719E-1,9.530047417E0,1.081974220E1
4.908688020E-1,9.010413885E-1,1.050671577E1,1.085917568E1
5.108688020E-1,1.712048292E0,1.094336319E1,1.188698673E1
5.308688020E-1,2.355580568E0,1.024277020E1,1.276928997E1
5.508688020E-1,1.958333611E0,9.418486595E0,1.295527267E1
5.708688020E-1,1.279945374E0,8.875152588E0,1.326272964E1
5.908688020E-1,1.325893521E0,8.956463814E0,1.300681496E1
6.108688020E-1,1.394366503E0,9.233613014E0,1.208771420E1
6.308696590E-1,1.525205255E0,9.440754890E0,1.095796394E1
6.508696590E-1,1.704959750E0,9.604210854E0,1.036364555E1
6.708696590E-1,2.017923594E0,9.311338425E0,1.063415146E1
6.908696590E-1,2.197776556E0,8.675932884E0,1.062825871E1
7.108696590E-1,2.519558430E0,8.419530869E0,1.042777538E1
7.308696590E-1,3.033297777E0,8.199948311E0,1.032475662E1
7.508696590E-1,3.800796032E0,7.917091370E0,1.074832726E1
7.708696590E-1,4.610733986E0,7.738660336E0,1.121091080E1
7.908696590E-1,5.242292404E0,7.325137138E0,1.145983982E1
8.108696590E-1,5.248273849E0,6.380256176E0,1.118408012E1
8.308701250E-1,5.666569710E0,5.675939560E0,1.093254185E1
8.508701250E-1,6.473822594E0,4.741216660E0,1.101069069E1
8.708701250E-1,8.295261383E0,3.404011726E0,1.215296364E1
8.908701250E-1,9.773328781E0,2.422825813E0,1.301881123E1
9.108701250E-1,1.132645607E1,1.884212494E0,1.291149616E1
9.308696580E-1,1.240157318E1,1.558894634E0,1.210431290E1
9.508696580E-1,1.319533730E1,5.000119209E-1,1.162406254E1
9.708696580E-1,1.430555153E1,-1.346111298E-3,1.163424301E1
9.908696580E-1,1.561507607E1,-3.690614700E-1,1.084916592E1
1.010869658E0,1.676345062E1,-2.273054123E-1,9.930725098E0
1.030869658E0,1.722783279E1,-3.180980682E-3,8.584921837E0
1.050869658E0,1.689242935E1,-3.441681862E-1,6.537383556E0
1.070869658E0,1.637746620E1,-8.718042374E-1,5.039613247E0
1.090869658E0,1.582542801E1,-1.317948341E0,4.330155373E0
1.110869658E0,1.544809532E1,-1.854697704E0,3.462822914E0
1.130870458E0,1.553493309E1,-1.754656553E0,2.217445612E0
1.150870458E0,1.585342026E1,-1.945600510E0,1.553341627E0
1.170870458E0,1.595711136E1,-2.013184786E0,3.013134003E-2
1.190870458E0,1.594574738E1,-2.017502308E0,-1.347325802E0
1.210870458E0,1.542098999E1,-2.521181583E0,-1.950567007E0
1.230869658E0,1.481383705E1,-3.379279137E0,-2.250254869E0
1.250869658E0,1.459822273E1,-3.864836931E0,-2.540339231E0
1.270869658E0,1.421775532E1,-5.285980701E0,-2.858261824E0
1.290869658E0,1.414862823E1,-5.477183342E0,-3.511851072E0
1.310869658E0,1.384080505E1,-6.016222000E0,-3.900744677E0
1.330870124E0,1.405920029E1,-6.463376522E0,-3.605442286E0
1.350870124E0,1.396322632E1,-7.185950279E0,-3.345723391E0
1.370870124E0,1.458218575E1,-7.994632244E0,-2.279793262E0
1.390870124E0,1.469065666E1,-8.513623238E0,-3.144196987E0
1.410870124E0,1.376134968E1,-8.238842964E0,-4.128110409E0
1.430869657E0,1.255543232E1,-8.146695137E0,-4.108192444E0
1.450869657E0,1.121777916E1,-8.288738251E0,-4.717149734E0
1.470869657E0,1.023235130E1,-7.906106949E0,-5.277990341E0
1.490869657E0,9.697233200E0,-7.848958969E0,-5.175088406E0
1.510869657E0,9.724327087E0,-8.417267799E0,-3.887504101E0
1.530869657E0,9.665520668E0,-9.419467926E0,-4.510229111E0
1.550869657E0,1.007030869E1,-1.021148586E1,-4.545885563E0
1.570869657E0,1.040762711E1,-1.055908775E1,-5.176703453E0
1.590869657E0,9.404662132E0,-1.090878868E1,-6.297142029E0
1.610869657E0,8.483201027E0,-1.168219757E1,-5.558959007E0
1.630870457E0,7.786211967E0,-1.183889008E1,-5.206056118E0
1.650870457E0,8.247894287E0,-1.094352436E1,-6.465493202E0
1.670870457E0,8.244632721E0,-9.947845459E0,-6.514454842E0
1.690870457E0,8.155550957E0,-1.084063148E1,-5.279478073E0
1.710870457E0,7.080020905E0,-1.244265938E1,-5.159504414E0
1.730869657E0,6.975499153E0,-1.092679882E1,-6.066949844E0
1.750869657E0,6.917152405E0,-1.102538872E1,-6.186316967E0
1.770869657E0,6.931424141E0,-1.287249374E1,-5.747744560E0
1.790869657E0,7.044481754E0,-1.387179947E1,-5.768156528E0
1.810869657E0,7.417749882E0,-1.337277794E1,-5.667221069E0
1.830870123E0,7.103487492E0,-8.589880943E0,-6.266386509E0
1.850870123E0,4.656004906E0,-1.043831730E1,-5.577213287E0
1.870870123E0,5.101762295E0,-1.061223221E1,-5.027861595E0
1.890870123E0,5.356221676E0,-1.338261223E1,-5.942001820E0
1.910870123E0,3.917807341E0,-1.542100334E1,-7.006405354E0
1.930869656E0,6.025732994E0,-1.399675465E1,-7.884945869E0
1.950869656E0,6.212127209E0,-1.260389709E1,-8.650688171E0
1.970869656E0,5.678072453E0,-1.254598331E1,-8.063828468E0
1.990869656E0,6.700537682E0,-1.298534679E1,-6.329070568E0
2.010869656E0,4.244214535E0,-1.289205074E1,-8.468664169E0
2.030869656E0,4.356287003E0,-1.193275261E1,-7.479152679E0
2.050869656E0,4.195955276E0,-1.196562195E1,-7.460848808E0
2.070869656E0,3.805989981E0,-1.012093163E1,-7.191387177E0
2.090869656E0,3.418442249E0,-1.099686146E1,-7.494009018E0
2.110869656E0,3.039506912E0,-1.128009987E1,-7.744550705E0
2.130870456E0,2.658173561E0,-1.010726929E1,-7.690228939E0
2.150870456E0,2.090070248E0,-1.028009892E1,-7.648314953E0
2.170870456E0,1.408200979E0,-1.027467728E1,-7.902171135E0
2.190870456E0,1.270229816E-1,-1.010405064E1,-7.568894863E0
2.210870456E0,-2.032378912E0,-1.416500664E1,-8.311001778E0
2.230869656E0,-3.547105789E-1,-1.174343395E1,-8.621634483E0
2.250869656E0,-7.636070251E-3,-1.090977001E1,-6.814396858E0
2.270869656E0,-2.808475494E-1,-1.028447533E1,-8.020416260E0
2.290869656E0,-5.199391842E-1,-9.786647797E0,-8.147239685E0
2.310869656E0,-1.878858685E0,-1.007817745E1,-8.538558960E0
