Time (s),X (rad/s),Y (rad/s),Z (rad/s)
1.349445000E-1,5.505260825E-2,5.447993875E-1,-2.551814318E-1
1.538398650E-1,1.283542812E-1,4.409553707E-1,-3.235963285E-1
1.727352810E-1,1.845522225E-1,2.515927255E-1,-3.248180151E-1
1.916306460E-1,2.688491642E-1,2.118876427E-1,-3.407000601E-1
2.105260630E-1,3.158843815E-1,1.972273141E-1,-3.920112252E-1
2.294214270E-1,2.572430372E-1,1.227039397E-1,-3.889569938E-1
2.483168440E-1,1.216349602E-1,1.098761484E-1,-3.614688516E-1
2.672122080E-1,-2.680092305E-2,1.245364845E-1,-3.706315756E-1
2.861076250E-1,-1.086544544E-1,1.489703804E-1,-3.926220834E-1
3.050029900E-1,-1.349208951E-1,2.638096511E-1,-4.152234197E-1
3.238983540E-1,-1.483595222E-1,2.870218456E-1,-4.170559645E-1
3.427937710E-1,-1.294232607E-1,8.788564801E-2,-3.791834414E-1
3.616891880E-1,-4.756972939E-2,-1.986017078E-1,-3.046600819E-1
3.805845520E-1,-9.697199799E-3,-3.549786210E-1,-2.136438340E-1
3.994799690E-1,-4.695888236E-2,-1.937149316E-1,-1.171299592E-1
4.183753330E-1,-7.200361788E-2,6.650599837E-2,-8.719844371E-2
4.372707500E-1,-1.885990985E-2,1.593547761E-1,-1.513374150E-1
4.561661150E-1,8.864920586E-2,8.605311066E-2,-2.118112892E-1
4.750615310E-1,1.735569835E-1,-2.451024577E-2,-1.953184158E-1
4.939568960E-1,1.839413792E-1,-1.314085126E-1,-1.049130186E-1
5.128523130E-1,1.442363113E-1,-2.560213506E-1,-4.504998401E-2
5.317477290E-1,1.454579979E-1,-3.494809866E-1,-4.993676394E-2
5.506430940E-1,1.778329015E-1,-3.073325157E-1,-6.642963737E-2
5.695385100E-1,1.833305359E-1,-9.414683282E-2,-4.260659590E-2
5.884338750E-1,1.399603784E-1,2.863346599E-2,-7.788302377E-3
6.073292920E-1,5.077667907E-2,-1.674485058E-1,-1.328592747E-2
6.262247080E-1,-1.257581860E-1,-5.871005654E-1,-8.475505561E-2
6.451200730E-1,-4.275167286E-1,-1.008585215E0,-1.696628332E-1
6.640154900E-1,-6.907919049E-1,-1.153966784E0,-1.867665499E-1
6.829109060E-1,-7.543200254E-1,-1.114872575E0,-1.220167428E-1
7.018062710E-1,-6.315397024E-1,-1.027521491E0,-3.649812192E-2
7.207016880E-1,-5.454102755E-1,-8.448781371E-1,-4.810422286E-2
7.395970520E-1,-6.235986948E-1,-7.776849270E-1,-1.287360638E-1
7.584924690E-1,-7.848623991E-1,-9.371160269E-1,-1.672194302E-1
7.773878850E-1,-8.581640720E-1,-1.279801369E0,-6.520794332E-2
7.962832500E-1,-8.086854219E-1,-1.681204319E0,1.760767251E-1
