"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.388062500E-2,-4.271531367E-1,-1.466127929E-1,6.482351911E-1
3.377962500E-2,-5.948021650E-1,-1.102992448E-1,4.465740788E-1
5.367962500E-2,2.856014013E-2,-1.311162096E-1,-5.835170388E-2
7.357862500E-2,-2.533298872E-1,1.458117244E-1,-5.067150307E-1
9.347862500E-2,-1.583695702E0,3.877063581E-1,-2.018523163E-1
1.133776250E-1,-1.531698167E0,1.197784585E-1,9.293342364E-1
1.332776250E-1,-1.003091307E0,-3.251274097E-1,1.105306191E0
1.531766250E-1,-2.591654085E-1,-6.879079646E-1,-1.505365670E-2
1.730766250E-1,3.809120397E-1,-8.119823724E-1,-8.983638740E-1
1.929756250E-1,4.081261508E-1,-6.526603639E-2,-4.573855805E-1
2.128756250E-1,-6.727584136E-1,5.044737929E-1,9.254475921E-1
2.327746250E-1,-5.160732070E-1,-1.496469131E-1,1.637594604E0
2.526746250E-1,3.222912908E-1,-7.009007701E-1,1.069077428E0
2.725736250E-1,9.796357130E-1,-7.956256637E-1,2.668838793E-1
2.924736250E-1,1.506363205E0,-7.698280406E-1,-8.340860170E-1
3.123726250E-1,2.027399236E0,-1.050519243E0,-2.517787086E0
3.322726250E-1,3.054781631E0,-1.811774680E0,-3.466982560E0
3.521716250E-1,3.050856687E0,-2.304062291E0,-1.852100295E0
3.720716250E-1,2.042648190E0,-2.022677025E0,1.855917943E-1
3.919706250E-1,3.232244334E-1,-5.741486299E-1,3.277416998E-1
4.118706250E-1,-8.572694962E-1,1.009057221E0,-1.895345718E-1
4.317706250E-1,-1.777017661E0,2.196543690E0,8.053738493E-1
4.516696250E-1,-1.661612043E0,2.640384195E0,1.397746496E0
4.715696250E-1,-3.257337660E-1,1.892986074E0,1.351638862E0
4.914686250E-1,1.270581250E0,1.580932161E-1,-4.784513444E-1
5.113686250E-1,-6.430586511E-1,1.153903570E0,1.104509801E-1
5.312676250E-1,-1.670874325E0,2.246799923E0,-1.011059015E0
5.511676250E-1,-4.512537517E-2,1.368311613E0,-1.667175668E-1
5.710666250E-1,3.438525039E0,-4.493874666E-1,5.898782247E-1
5.909666250E-1,9.392097451E-1,-1.038765754E0,7.560432297E-1
6.108656250E-1,-8.954670902E-1,1.875625691E0,7.061699885E-1
6.307656250E-1,-1.569315206E0,3.208356119E0,-2.675071340E0
6.506646250E-1,-8.510254008E-1,1.634001929E0,-2.031483516E0
6.705646250E-1,-2.399573050E-1,1.057667171E0,-1.770576661E0
6.904636250E-1,8.133829267E-1,1.314917909E0,-5.352213764E-1
7.103636250E-1,-5.498246513E-2,1.825754934E0,-3.080944705E-1
7.302626250E-1,-6.242860191E-1,1.607890749E0,-1.939731932E-1
7.501626250E-1,-2.098046757E-2,2.646843030E-1,-5.089474976E-2
7.700616250E-1,-2.556412916E-1,-1.854681256E-1,4.169865829E-1
7.899616250E-1,1.128701194E0,-3.965093413E-1,9.754208207E-1
