Time (s),X (rad/s),Y (rad/s),Z (rad/s)
1.444474490E-1,4.398100376E-1,2.777064443E-1,-1.856212169E-1
1.637172410E-1,4.679090083E-1,2.777064443E-1,-1.630198658E-1
1.829842720E-1,5.008947253E-1,2.770955861E-1,-1.605764776E-1
2.022524490E-1,5.540384650E-1,3.589491248E-1,-2.198286504E-1
2.215205740E-1,5.436540842E-1,4.127036929E-1,-2.870218456E-1
2.407888030E-1,5.247178078E-1,3.497864008E-1,-3.022930324E-1
2.600569280E-1,4.935645759E-1,2.715979517E-1,-2.418191582E-1
2.793251050E-1,4.355340898E-1,1.500393599E-1,-1.984490007E-1
2.985942720E-1,3.787252903E-1,5.474718660E-2,-1.892862916E-1
3.178197410E-1,3.170297146E-1,5.169294775E-2,-2.070008665E-1
3.371295330E-1,2.058555335E-1,8.406785131E-2,-2.118876427E-1
3.563977100E-1,1.068982705E-1,1.048366576E-1,-2.045574784E-1
3.756658350E-1,-2.015795931E-2,1.237729266E-1,-2.082225531E-1
3.949340120E-1,-2.730487287E-1,2.563267946E-1,-2.723615170E-1
4.142023970E-1,-5.644228458E-1,4.536304474E-1,-3.988068998E-1
4.334700010E-1,-8.838959932E-1,6.026771665E-1,-5.496861935E-1
4.527384390E-1,-1.261399627E0,8.060893416E-1,-6.590278149E-1
4.720073970E-1,-1.711059570E0,7.865421772E-1,-5.808393955E-1
4.912758350E-1,-1.990827560E0,7.059103847E-1,-2.424300015E-1
5.105428660E-1,-1.904698133E0,1.071273327E0,8.131904155E-2
5.298109910E-1,-1.600419760E0,1.524522066E0,3.122192919E-1
5.490791680E-1,-9.199360013E-1,1.996706963E0,2.212030590E-1
5.683056780E-1,-6.255075932E-1,2.200729847E0,1.332410574E-1
5.876154180E-1,-6.578825116E-1,2.261814594E0,2.431935668E-1
6.068846890E-1,-6.132906675E-1,2.271588326E0,5.150206089E-1
6.261517200E-1,-5.485408306E-1,2.209281921E0,7.074374557E-1
6.454198970E-1,-5.222744346E-1,2.197064877E0,6.891120672E-1
6.646880220E-1,-5.027272701E-1,2.248986959E0,6.029825807E-1
6.839561470E-1,-4.746283293E-1,2.055348396E0,4.246152043E-1
7.032243240E-1,-3.726168275E-1,1.696170092E0,2.138728946E-1
7.224934910E-1,-2.840439677E-1,1.402352571E0,1.674485058E-1
7.417605740E-1,-2.583884001E-1,1.139688253E0,2.493020445E-1
7.610297930E-1,-1.814216375E-1,9.442171454E-1,1.588966399E-1
7.802968240E-1,-9.590301663E-2,7.340093255E-1,1.656923257E-2
7.995649490E-1,4.825693369E-2,4.163687527E-1,-9.399411827E-2
8.187911990E-1,2.510582209E-1,1.353790164E-1,-6.528430432E-2
8.381012510E-1,3.738385141E-1,-6.986565888E-2,-3.229855001E-2
8.573693760E-1,4.141544402E-1,-1.859266311E-1,-2.741177008E-2
8.766374490E-1,3.817795515E-1,-2.146364599E-1,2.084516361E-2
8.959056260E-1,3.115321100E-1,-9.979717433E-2,6.849125028E-2
9.151462510E-1,2.174616307E-1,2.298312820E-2,1.705027372E-1
9.344418760E-1,1.453816444E-1,2.990860939E-1,2.749576271E-1
9.537100010E-1,-4.385883212E-1,1.916075110E0,1.595074832E-1
9.729781260E-1,-5.118899941E-1,2.688186169E0,3.103867769E-1
9.922462510E-1,-6.841489673E-2,7.297334075E-1,5.858788490E-1
