Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
4.839642700E-2,8.164029121E-1,2.154588699E-1,-1.462510109E0
6.839642700E-2,6.445522308E-1,2.391963005E-1,-1.418389320E0
8.839242700E-2,5.108349323E-1,2.854964733E-1,-1.389325142E0
1.083894270E-1,4.331548214E-1,3.962128162E-1,-1.393887520E0
1.283867600E-1,3.571429253E-1,5.611572266E-1,-1.410439491E0
1.483842600E-1,2.092146873E-1,7.484753132E-1,-1.403189659E0
1.683814600E-1,-5.385255814E-2,9.643617868E-1,-1.351844788E0
1.883789600E-1,-3.063294888E-1,1.246725202E0,-1.303290367E0
2.083766740E-1,-4.461231232E-1,1.585968971E0,-1.295661926E0
2.283745490E-1,-4.873185158E-1,1.879935026E0,-1.312111855E0
2.483724370E-1,-5.386459827E-1,2.091872931E0,-1.308329582E0
2.683703370E-1,-5.990238190E-1,2.304390907E0,-1.295200348E0
2.883682460E-1,-6.137585640E-1,2.570401430E0,-1.298686981E0
3.083659960E-1,-6.059651375E-1,2.824134827E0,-1.304466248E0
3.283637650E-1,-6.332139969E-1,2.996196747E0,-1.289608002E0
3.483615500E-1,-7.257027626E-1,3.115635157E0,-1.243363380E0
3.683593500E-1,-8.767666817E-1,3.234906912E0,-1.166001320E0
3.883570370E-1,-1.081345558E0,3.376587868E0,-1.054737091E0
4.083547420E-1,-1.354428291E0,3.550423861E0,-8.940525055E-1
4.283524080E-1,-7.426695824E-1,5.513300896E-1,2.751193047E0
4.483500390E-1,-4.422726631E-1,-2.984488487E0,-2.948195457E0
4.683476890E-1,-1.001819611E0,-2.878792763E0,-2.902955532E0
4.883453550E-1,-4.654040337E-1,-2.129357338E0,-2.935797215E0
5.083430360E-1,2.844376564E-1,-1.386736631E0,-2.705333710E0
5.283406440E-1,4.758558273E-1,-1.689193487E0,-1.669332981E0
5.483382690E-1,1.045066833E0,-2.580647707E0,2.269164085E0
5.683359090E-1,2.151618004E0,-2.521163940E0,6.504568100E0
5.883334850E-1,2.074992180E0,-2.086695433E0,7.073987961E0
6.083310770E-1,5.763939857E0,1.151206255E0,6.389518738E0
6.283287190E-1,6.004114151E0,1.852361441E0,4.344151497E0
6.483263390E-1,4.704285622E0,1.562485218E0,2.423409224E0
6.683239390E-1,3.153066635E0,1.040302277E0,6.937525272E-1
6.883216050E-1,1.832171440E0,7.563865185E-1,-7.068293095E-1
7.083192710E-1,6.645636559E-1,4.522433281E-1,-1.995938540E0
