Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
6.333550600E-2,-2.948106527E-1,4.866397381E-1,1.696691513E-1
8.333550600E-2,-4.844924212E-1,8.181995153E-1,1.510381699E-1
1.033355060E-1,-7.835091352E-1,1.152906775E0,1.745615005E-1
1.233355060E-1,-1.119793057E0,1.426483154E0,2.360382080E-1
1.433355060E-1,-1.650990605E0,1.666381598E0,3.871545792E-1
1.633355060E-1,-2.333114147E0,1.898943424E0,6.435937881E-1
1.833383060E-1,-2.946528912E0,2.108769655E0,9.315700531E-1
2.033383060E-1,-3.374118328E0,2.286735058E0,1.167267799E0
2.233383060E-1,-3.594049454E0,2.482759714E0,1.302417755E0
2.433383060E-1,-3.689476490E0,2.759336710E0,1.372783661E0
2.633383060E-1,-3.720435619E0,3.131579638E0,1.420742035E0
2.833383060E-1,-3.816996574E0,3.532470703E0,1.534056664E0
3.033383060E-1,-3.918309212E0,3.869704008E0,1.661081791E0
3.233383060E-1,-4.024612427E0,4.112700939E0,1.787565231E0
3.433383060E-1,-4.128173828E0,4.298307419E0,1.908332825E0
3.633383060E-1,-4.172397614E0,4.471835613E0,1.988148212E0
3.833383060E-1,-4.133693218E0,4.672954559E0,2.018107891E0
4.033383060E-1,-4.059819698E0,4.914495468E0,2.040967464E0
4.233383060E-1,-4.345886230E0,2.246985912E0,2.172878265E0
4.433383060E-1,-4.332501411E0,1.524827600E0,2.910144806E0
4.633383060E-1,-3.891755819E0,1.885295749E0,2.766899109E0
4.833383060E-1,-3.904692411E0,2.199403763E0,2.934040546E0
5.033383060E-1,-2.887900114E0,2.677285671E0,2.135443687E0
5.233383060E-1,-3.106696844E0,2.245848894E0,2.171861649E0
5.433383060E-1,-2.599908590E0,2.360857487E0,3.191020966E0
5.633383060E-1,-2.283977985E0,2.797223330E0,3.748883724E0
5.833383060E-1,-2.556059122E0,2.821818829E0,3.798719406E0
6.033383060E-1,-2.946007967E0,2.576462269E0,2.953415394E0
6.233383060E-1,-2.920815229E0,3.069806814E0,2.074793339E0
6.433383060E-1,-3.086662054E0,2.447555542E0,1.116849899E0
6.633383060E-1,-3.176080942E0,1.893290043E0,1.437047958E0
6.833387720E-1,-1.951731205E0,2.119387150E0,3.211840630E0
7.033387720E-1,-2.833204269E-1,1.786601543E0,3.576879978E0
7.233387720E-1,1.253165245E0,1.170719147E0,2.497197866E0
7.433387720E-1,2.432239056E0,2.129626274E-1,3.980717182E0
7.633387720E-1,2.361938953E0,-7.256507874E-3,6.667831898E0
7.833383050E-1,3.413642883E0,2.610921860E-2,6.978100777E0
8.033383050E-1,4.668868542E0,3.651881218E-1,5.272016525E0
8.233383050E-1,5.528543472E0,5.487689972E-1,4.459513187E0
8.433383050E-1,5.802008629E0,5.881090164E-1,4.844611168E0
8.633383050E-1,5.160517216E0,1.787414551E0,5.387491226E0
8.833383050E-1,3.872592926E0,3.071300507E0,4.980912685E0
9.033383050E-1,3.015852451E0,3.991897106E0,4.146144867E0
9.233383050E-1,2.375376225E0,4.276082039E0,3.194952726E0
9.433383050E-1,2.040519238E0,4.349363327E0,-3.906256199E0
9.633383050E-1,9.310855865E-1,4.309440136E0,-4.334515095E0
9.833391050E-1,-1.280593872E-1,4.154884815E0,-2.094049692E0
1.003339105E0,4.250674248E-1,3.861653805E0,8.155115247E-1
1.023339105E0,1.527094841E0,2.658277035E0,2.217661858E0
1.043339105E0,2.746445656E0,2.010805607E0,1.444470525E0
1.063339105E0,2.001838684E0,9.399075508E-1,-5.124644041E-1
1.083339105E0,6.408300400E-1,8.503317833E-1,-1.475900412E0
1.103339105E0,-9.568071365E-2,1.591194630E0,-1.016792178E0
1.123339105E0,-2.225236893E-1,2.627847195E0,-9.453464150E-1
1.143339105E0,-9.548416138E-1,2.889268398E0,-1.165521979E0
1.163339105E0,-1.408998489E0,3.445110798E0,-1.433338404E0
1.183339571E0,-3.157813549E-1,4.488127708E0,-1.785244942E0
1.203339571E0,1.086750507E0,4.938360691E0,-2.005063057E0
1.223339571E0,1.497681856E0,4.017675877E0,-1.652737975E0
1.243339571E0,3.158077717E0,3.983744621E0,-1.577828169E0
1.263339571E0,3.243385077E0,3.324638844E0,-1.654292107E0
1.283339104E0,3.007699251E0,1.781714916E0,-1.656440973E0
1.303339104E0,3.236695766E0,3.764982224E-1,1.939114928E-1
1.323339104E0,3.162967443E0,-1.838188171E-1,-8.264611959E-1
1.343339104E0,3.321297407E0,4.584207535E-1,-2.191973209E0
1.363339104E0,4.499787807E0,-1.728067398E-1,-3.249047518E0
1.383339104E0,6.298035145E0,-5.409746170E-1,-2.949522734E0
1.403339104E0,8.364175797E0,-1.776587486E0,-2.043105602E0
1.423339104E0,6.981954098E0,-3.036949158E0,-6.605381370E-1
1.443339104E0,3.318105698E0,-1.597551346E0,6.193470359E-1
1.463339104E0,4.073702812E0,-1.423048973E0,1.366510034E0
1.483339904E0,5.167426586E0,-2.926912308E0,2.419109821E0
1.503339904E0,4.891757488E0,-3.440843582E0,3.161253452E0
1.523339904E0,5.848303318E0,-1.351530075E0,3.552667856E0
1.543339904E0,5.641869545E0,1.961526871E-1,3.448736429E0
1.563339904E0,4.373107910E0,1.870802402E0,1.645818591E0
1.583339104E0,3.309767723E0,3.282999039E0,8.299058080E-1
1.603339104E0,5.510082245E-1,4.558952332E0,6.082463264E-1
1.623339104E0,-9.366816282E-1,4.568886757E0,4.891064644E0
1.643339104E0,-2.049329042E0,5.726188660E0,2.319726467E0
1.664161769E0,3.755929470E-1,6.457713604E0,2.722165108E0
1.684162235E0,1.083970070E-1,6.090262413E0,-1.969998002E0
1.704162235E0,-1.033501863E0,4.893003464E0,-9.554557800E-1
1.724162235E0,-5.479753017E-1,3.109014988E0,9.224195480E-1
1.744162235E0,-4.320907593E-2,2.580975533E0,5.841023922E-1
1.764162235E0,2.207445145E0,1.923562527E0,1.379675627E0
1.784161768E0,2.891952991E0,2.045449257E0,-5.514752865E-1
1.804161768E0,3.720852852E0,2.096254349E0,-4.226512909E-1
1.824161768E0,4.737205982E0,2.122750282E0,2.718734741E-2
1.844161768E0,4.857145309E0,8.374738693E-1,2.238185406E-1
1.864161768E0,5.293851852E0,3.833980560E-1,4.408030510E-1
1.884161768E0,5.365133762E0,2.906684875E-1,1.858394146E-1
1.904161768E0,4.720347404E0,1.603520393E0,-9.493360519E-1
1.924161768E0,4.530323029E0,2.493351460E0,-8.129820824E-1
1.944161768E0,3.944991350E0,2.538359642E0,-5.376808643E-1
1.964161768E0,4.044601917E0,2.881436825E0,2.464227676E-1
1.984161768E0,2.347280741E0,3.954607010E0,-1.081833243E0
2.004161768E0,4.022948742E0,9.537868500E-1,-3.050438881E0
2.024161768E0,4.629405975E0,7.979907990E-1,-3.949339390E-1
2.044161768E0,4.534758568E0,-9.596157074E-2,-9.968980551E-1
2.064161768E0,5.155308723E0,3.552198410E-1,-5.411906242E-1
2.084160968E0,4.614291191E0,3.646450043E-1,-2.681041241E0
2.104160968E0,4.620635033E0,-4.884767532E-1,-1.206163764E0
2.124160968E0,5.447441578E0,-2.793899536E0,1.603003740E-1
2.144160968E0,5.813488007E0,-2.653532028E0,-1.978257179E0
2.164160968E0,6.033993244E0,-2.053017616E0,-3.011250257E0
2.184161434E0,6.486780643E0,-2.479575157E0,-3.903328419E0
2.204161434E0,6.504707336E0,-2.282465935E0,-1.743146777E0
2.224161434E0,5.702064037E0,-6.909866333E-1,9.937747717E-1
2.244161434E0,6.624925613E0,-3.652067184E-1,2.327980518E0
2.264161434E0,5.533128262E0,2.368583679E-1,2.117071867E0
2.284160967E0,3.117967367E0,1.278419495E0,9.902336597E-1
2.304160967E0,1.280495524E0,2.075009346E0,2.512009144E-1
2.324160967E0,8.397917151E-1,2.110422611E0,5.130648017E-1
2.344160967E0,8.916422725E-1,8.623790741E-1,-1.153094053E0
2.364160967E0,-4.221964836E0,-3.364044189E0,-3.000804901E0
2.384160967E0,3.042223454E-1,-8.738002777E-1,-3.530212641E0
2.404160967E0,4.154260635E0,9.358100891E-1,-2.451789379E-1
2.424160967E0,4.903160095E0,-4.185199738E-1,-3.658888340E-1
2.444160967E0,8.071810722E0,-4.169008255E0,-3.026551485E0
2.464160967E0,8.637590408E0,-2.222254562E1,-1.984855652E0
2.484160967E0,6.619213581E0,-3.696352005E0,1.369732618E-1
2.504160967E0,1.217551351E0,-2.195463181E-1,1.981709003E0
2.524160967E0,1.003907919E0,1.697146416E0,3.507313251E0
2.544160967E0,1.290237546E0,1.678755283E0,2.941025496E0
2.564160967E0,1.600511193E0,2.311642170E0,1.559395313E0
2.584160967E0,1.801982164E0,3.484410763E0,7.592778206E-1
2.604160967E0,2.061818838E0,4.212664127E0,6.736273766E-1
2.624160967E0,1.890311480E0,4.125041008E0,6.465549469E-1
2.644160967E0,1.853155136E0,4.250483036E0,3.796315193E-2
2.664160967E0,1.612790346E0,3.391725540E0,-1.269280672E0
2.684161433E0,2.765298843E0,3.302211285E0,-3.212527275E0
2.704161433E0,3.777041912E0,3.747694016E0,-3.511044025E0
2.724161433E0,3.370233297E0,3.489188671E0,-3.445135355E0
2.744161433E0,2.403289795E0,2.761450768E0,-4.319421291E0
2.764161433E0,2.103014231E0,6.329059601E-2,-5.565280914E0
2.784160966E0,1.246906281E0,-4.916270256E0,-6.799580097E0
2.804160966E0,1.080814600E0,-7.659031868E0,-6.963922501E0
2.824160966E0,2.568753719E0,-3.589277267E0,-6.267422676E0
2.844160966E0,2.837962866E0,3.798361301E0,-4.177453041E0
2.864160966E0,6.071975231E-1,2.395058632E0,-1.727471590E0
2.884160966E0,1.093368292E0,-1.841233253E0,8.419678211E-1
2.904160966E0,1.071589231E0,-5.911838531E0,3.577170134E0
2.924160966E0,2.454840660E0,-7.656236649E0,-2.039449215E-1
2.944160966E0,3.126634598E0,-3.351414680E0,-3.774072170E0
2.964160966E0,1.755439639E0,1.525248051E0,-2.205424786E0
2.984161766E0,2.633522511E0,3.921091080E0,2.601444244E0
3.004161766E0,4.560127258E0,2.457084656E0,6.323482990E0
3.024161766E0,4.524237633E0,-1.057008743E0,5.239194870E0
3.044161766E0,5.126781940E0,-1.366250038E0,2.860736370E0
3.064161766E0,4.927581787E0,-1.645878792E0,-2.331764400E-1
3.084161766E0,3.868459702E0,-1.026586533E0,-9.231905937E-1
3.104161766E0,2.373254299E0,2.086753845E-1,-8.903160095E-1
3.124161766E0,1.453440309E0,1.322436333E0,-8.855280280E-1
3.144161766E0,2.336370468E0,9.193058014E-1,-1.110206842E0
3.164161766E0,3.104337692E0,-4.778575897E-2,-1.176018596E0
3.184162232E0,3.826008320E0,-2.268543243E-1,-1.614506602E0
3.204162232E0,4.044346333E0,-2.141065598E-1,-1.789685130E0
3.224162232E0,3.650806904E0,-2.796335220E-1,-1.182469368E0
3.244162232E0,3.335014582E0,-4.448890686E-2,-2.744342685E-1
