Time (s),X (rad/s),Y (rad/s),Z (rad/s)
2.332650600E-2,-1.651626945E0,-9.467647672E-1,5.337435007E-1
4.533550600E-2,-1.651626945E0,-9.467647672E-1,5.337435007E-1
6.533550600E-2,-1.651626945E0,-9.467647672E-1,5.337435007E-1
8.533550600E-2,-1.888642669E0,-1.608942747E0,-2.519819140E-2
1.053355060E-1,-1.582599163E0,-1.750052571E0,-1.773036420E-1
1.253355060E-1,-1.358411551E0,-2.577775002E0,-8.811730891E-2
1.453355060E-1,-1.421941519E0,-3.837990046E0,-3.000875413E-1
1.653355060E-1,-1.457371712E0,-3.693214893E0,-4.650211632E-1
1.853375060E-1,-1.136056662E0,-2.993163347E0,-9.544769675E-2
2.053375060E-1,-6.882924438E-1,-1.633988142E0,7.310529947E-1
2.253375060E-1,-7.518224120E-1,-8.844565153E-1,1.242958069E0
2.453375060E-1,-1.362076759E0,-3.774383664E-1,1.288162112E0
2.653375060E-1,-1.739591479E0,-7.977136374E-1,1.210582256E0
2.853375060E-1,-1.334587812E0,-9.699776769E-1,1.399339557E0
3.053375060E-1,-5.404630303E-1,-1.140409112E0,1.662622452E0
3.253375060E-1,1.229366288E-1,-1.261360407E0,1.940566182E0
3.453375060E-1,4.485278130E-1,-1.128191710E0,2.138486624E0
3.653375060E-1,3.171917796E-1,-5.851325393E-1,2.128712654E0
3.853375060E-1,-1.769981980E-1,-2.296089679E-1,1.853212476E0
4.053375060E-1,-6.375905871E-1,-2.192242593E-1,1.550223231E0
4.253375060E-1,-8.813258410E-1,-5.289329290E-1,1.376737595E0
4.453375060E-1,-8.972083330E-1,-8.258134723E-1,1.437213182E0
4.653375060E-1,-7.658722997E-1,-1.044503212E0,1.830610394E0
4.853375060E-1,-7.646505833E-1,-1.389642119E0,1.954616070E0
5.053375060E-1,-9.497427344E-1,-1.503873825E0,1.850158095E0
5.253375060E-1,-1.182482362E0,-1.434235215E0,1.679115891E0
5.453375060E-1,-1.295492411E0,-1.330999017E0,1.555721045E0
5.653375060E-1,-1.248455882E0,-1.124526501E0,1.375515819E0
5.853375060E-1,-1.032820463E0,-1.066494346E0,1.180649757E0
6.053375060E-1,-6.669121385E-1,-1.188056588E0,1.195921421E0
6.253375060E-1,-1.488984078E-1,-1.679192185E0,1.319316268E0
6.453375060E-1,3.336851299E-1,-2.401234865E0,1.272890449E0
6.653375060E-1,6.678284407E-1,-3.444592714E0,1.458593488E0
6.853379720E-1,7.105889916E-1,-4.491615772E0,2.296089649E0
7.053379720E-1,6.446155310E-1,-4.489172459E0,2.829375029E0
7.253379720E-1,6.317873597E-1,-4.421366215E0,2.666884899E0
7.453379720E-1,5.939137340E-1,-4.983362198E0,1.946674824E0
7.653379720E-1,8.969029188E-1,-5.457393646E0,1.771356463E0
7.853375050E-1,1.494939923E0,-5.257030010E0,2.107943296E0
8.053375050E-1,1.816865921E0,-4.735351086E0,2.262492180E0
8.253375050E-1,1.588402390E0,-4.484896183E0,2.121382236E0
8.453375050E-1,1.102764487E0,-4.169689655E0,1.989435434E0
8.653375050E-1,8.156577945E-1,-3.701766968E0,1.839773417E0
8.853375050E-1,1.121701360E0,-3.453144789E0,1.341307402E0
9.053375050E-1,1.490053058E0,-3.461086035E0,1.008385777E0
9.253375050E-1,2.023949385E0,-3.210631371E0,4.500549734E-1
9.453375050E-1,1.917047858E0,-2.807460308E0,1.281289905E-1
9.653375050E-1,3.068070710E-1,-2.844112158E0,-7.101308554E-2
9.853383050E-1,-1.098183036E0,-2.387795925E0,7.009678334E-2
1.005338305E0,-1.247844934E0,-1.285184145E0,1.959350258E-1
1.025338305E0,-4.671591818E-1,-1.035951138E0,3.315471113E-1
1.045338305E0,4.540255964E-1,-1.313283920E0,2.759583890E-1
1.065338305E0,9.207266569E-1,-1.644372940E0,1.501201391E-1
1.085338305E0,6.000223756E-1,-1.324279547E0,4.189008474E-1
1.105338305E0,5.085453019E-2,-2.968041599E-1,9.418014884E-1
1.125338305E0,2.336559631E-2,6.727153808E-2,1.027322650E0
1.145338305E0,1.608102769E-1,-4.512767121E-2,9.405797720E-1
1.165338305E0,2.878702581E-1,-4.092033505E-1,1.059698462E0
1.185338771E0,3.727805018E-1,-8.423067927E-1,1.223410368E0
1.205338771E0,3.587306142E-1,-1.232649684E0,1.320537925E0
1.225338771E0,1.925752759E-1,-1.050001025E0,1.459204316E0
1.245338771E0,9.789115191E-2,-5.264894962E-1,1.580155730E0
1.265338771E0,1.033889428E-1,-2.943606973E-1,1.419498086E0
1.285338304E0,2.151772827E-1,-2.717586756E-1,1.276555657E0
1.305338304E0,4.271475375E-1,-2.870303094E-1,1.238071084E0
1.325338304E0,7.423539758E-1,-4.886158407E-1,1.123839378E0
1.345338304E0,4.283692539E-1,-7.366271019E-1,1.062752843E0
1.365338304E0,-3.283400834E-2,-3.474296257E-2,1.201419234E0
1.385338304E0,-5.203045011E-1,7.582364976E-2,1.036485553E0
1.405338304E0,-6.272059083E-1,5.382486582E-1,5.832235813E-1
1.425338304E0,-2.576324046E-1,1.214476466E0,3.498730659E-1
1.445338304E0,4.717406929E-1,7.129560709E-1,7.620543987E-2
1.465338304E0,9.781479836E-1,1.625665128E-1,-1.156062484E-1
1.485339104E0,1.049008369E0,-1.361465901E-1,-3.923282027E-1
1.505339104E0,9.463829994E-1,-9.277515858E-2,-3.196352422E-1
1.525339104E0,8.095491529E-1,4.851033688E-1,-1.693623960E-1
1.545339104E0,1.155298948E0,1.157055140E0,-4.864014387E-1
1.565339104E0,1.823585510E0,1.766698599E0,-1.002582550E0
1.585338304E0,1.980577826E0,1.942627788E0,-1.166294456E0
1.605338304E0,2.468048334E0,1.537624121E0,-1.387427688E0
1.625338304E0,2.595719099E0,9.988410473E-1,-1.221883178E0
1.645338304E0,2.309223413E0,6.885215044E-1,-6.867652535E-1
1.664161769E0,1.962251902E0,8.021424413E-1,-1.669189334E-1
1.684162235E0,1.408807993E0,4.154647291E-1,-9.972374886E-2
1.704162235E0,4.442517459E-1,3.745367527E-1,1.745547503E-1
1.724162235E0,3.611740768E-1,-1.074359268E-1,5.850561857E-1
1.744162235E0,3.306308091E-1,-1.050611854E0,1.030987859E0
1.764162235E0,-1.061378345E-1,-1.081155181E0,1.550223231E0
1.784161768E0,-2.148718536E-1,-8.856782317E-1,1.668731093E0
1.804161768E0,-4.885394871E-1,-5.649740100E-1,1.759750009E0
1.824161768E0,-6.406449080E-1,7.154759020E-2,1.663844228E0
1.844161768E0,-4.818199575E-1,1.908953884E-3,1.398728728E0
1.864161768E0,-4.017966092E-1,4.955644161E-2,1.236849427E0
1.884161768E0,-4.182899892E-1,3.384957016E-1,1.333976984E0
1.904161768E0,-4.494441152E-1,5.547419786E-1,1.488525867E0
1.924161768E0,-4.616613984E-1,4.490623176E-1,1.547779799E0
1.944161768E0,-4.744895697E-1,1.210276783E-1,1.351081252E0
1.964161768E0,-6.327036619E-1,1.204168126E-1,1.210582256E0
1.984161768E0,-6.748533845E-1,8.743008971E-2,1.018770456E0
2.004161768E0,-5.862779021E-1,1.073366642E0,1.159880400E0
2.024161768E0,-5.294674635E-1,8.155814409E-1,9.680687189E-1
2.044161768E0,-3.908010423E-1,8.913287520E-1,6.736316681E-1
2.064161768E0,-4.653266072E-1,1.151557326E0,4.738787115E-1
2.084160968E0,-6.137668490E-1,1.389794827E0,1.837177277E-1
2.104160968E0,-4.439463317E-1,1.012280107E0,-5.085453019E-2
2.124160968E0,-2.160935849E-1,2.908482254E-1,-2.060143054E-1
2.144160968E0,-3.987422884E-1,2.390010282E-2,2.454151064E-1
2.164160968E0,-9.418014884E-1,-2.503784001E-1,7.469354868E-1
2.184161434E0,-5.752823353E-1,1.802128792E0,7.848091125E-1
2.204161434E0,-3.321579695E-1,5.223661661E-1,-2.102903575E-1
2.224161434E0,3.416263759E-1,-1.500208735E0,-5.022839308E-1
2.244161434E0,2.860376537E-1,-1.651092410E0,-6.421720982E-1
2.264161434E0,-9.845620394E-1,-6.388887167E-1,-1.889100820E-1
2.284160967E0,-1.406059027E0,-9.962448478E-1,4.048509300E-1
2.304160967E0,-1.714546084E0,-1.631544709E0,7.903069258E-1
2.324160967E0,-2.081065178E0,-1.851456165E0,6.009386778E-1
2.344160967E0,-2.235003233E0,-1.292514443E0,-5.291619897E-1
2.364160967E0,-2.798220873E0,-5.808565021E-1,-6.360634565E-1
2.384160967E0,-3.549585104E0,-4.550182521E-1,2.264782935E-1
2.404160967E0,-2.720641136E0,-1.764102459E0,2.692388594E-1
2.424160967E0,-1.991268039E0,-4.382270813E0,4.775438905E-1
2.444160967E0,-1.770134807E0,-6.049322128E0,8.520042896E-1
2.464160967E0,-1.461036921E0,-4.126929283E0,9.356928468E-1
2.484160967E0,-1.239903688E0,-1.856266707E-1,-5.757404864E-2
2.504160967E0,-9.717338681E-1,-1.335885882E0,-3.495676219E-1
2.524160967E0,-1.318094492E0,-1.970574975E0,-1.094975919E-1
2.544160967E0,-1.927127123E0,-1.812971711E0,-1.156062484E-1
2.564160967E0,-2.030974150E0,-1.684689999E0,-1.944078654E-1
2.584160967E0,-1.364520192E0,-1.525865078E0,-2.218967974E-1
2.604160967E0,-5.300782919E-1,-1.082987666E0,-2.041817009E-1
2.624160967E0,-1.519527286E-1,-8.526915312E-1,-1.211040318E-1
2.644160967E0,6.490442902E-2,-9.058368206E-1,-4.718934000E-2
2.664160967E0,2.866485119E-1,-8.441393971E-1,-5.024366826E-2
2.684161433E0,5.120577812E-1,-8.190939426E-1,-6.246097013E-2
2.704161433E0,6.843217611E-1,-7.732790709E-1,-2.580905706E-2
2.724161433E0,9.207266569E-1,-3.481168449E-1,-1.516472995E-1
2.744161433E0,1.041067123E0,-4.207334295E-2,-1.418734491E-1
2.764161433E0,9.555459619E-1,-7.628180087E-2,1.146899462E-1
2.784160966E0,4.729624093E-1,-3.817144334E-1,5.532912016E-1
2.804160966E0,-1.824959964E-1,-8.447502851E-1,7.774787545E-1
2.824160966E0,-2.661845386E-1,-1.286405802E0,1.898263693E-1
2.844160966E0,1.650863290E-1,-1.475163221E0,-4.234823287E-1
2.864160966E0,5.658139586E-1,-1.004796982E0,-2.921462953E-1
2.884160966E0,8.040513992E-1,-5.362633467E-1,-1.919644028E-1
2.904160966E0,1.245096087E0,-2.131156176E-1,-2.457205504E-1
2.924160966E0,1.498605132E0,3.818671405E-1,-1.033889428E-1
2.944160966E0,9.738719463E-1,5.425246954E-1,3.161227703E-2
2.964160966E0,3.636175394E-1,4.100432992E-2,1.024726480E-1
2.984161766E0,1.461495161E-1,-4.256967306E-1,2.716823220E-1
3.004161766E0,8.187121153E-1,2.462550551E-1,1.757764816E-1
3.024161766E0,1.369101763E0,1.580995560E0,2.331978083E-1
3.044161766E0,1.383151650E0,2.399554968E0,1.708895564E-1
3.064161766E0,1.365436554E0,2.028759956E0,-1.064432710E-1
3.084161766E0,1.275028467E0,1.380020976E0,-3.746131063E-1
3.104161766E0,1.339780211E0,1.129566193E0,-4.973970354E-1
3.124161766E0,1.289689302E0,1.430722713E0,-3.770565689E-1
3.144161766E0,1.249982953E0,1.427668452E0,-1.498146951E-1
3.164161766E0,9.787588120E-1,1.282893419E0,1.939497143E-2
3.184162232E0,8.071057200E-1,1.353142858E0,1.434006095E-1
3.204162232E0,8.413141370E-1,1.161331177E0,2.069306076E-1
3.224162232E0,1.022130251E0,6.213263273E-1,1.831068546E-1
3.244162232E0,1.088103771E0,2.645809948E-1,1.696678251E-1
3.264162232E0,9.805914164E-1,3.128393590E-1,1.397354305E-1
3.284161765E0,9.732610583E-1,3.189480305E-1,8.414668590E-2
3.304161765E0,9.885326624E-1,1.619556546E-1,8.842274547E-2
3.324161765E0,9.537133574E-1,1.778381467E-1,1.434006095E-1
3.344161765E0,9.750936627E-1,4.557818174E-1,2.374738604E-1
3.364161765E0,1.054506183E0,5.895613432E-1,3.346014321E-1
3.384161765E0,1.129031658E0,1.509600729E-1,4.476115108E-1
3.404161765E0,1.162018418E0,-9.216429293E-2,5.398521423E-1
3.424161765E0,1.182787776E0,2.328160107E-1,5.490151644E-1
3.444161765E0,1.140027285E0,4.515057802E-1,4.659374654E-1
3.464161765E0,9.689850211E-1,3.030655086E-1,3.877467215E-1
3.484162565E0,7.215845585E-1,4.117995203E-1,3.914119005E-1
3.504162565E0,5.059491396E-1,4.979315400E-1,5.600107312E-1
3.524162565E0,2.909245789E-1,4.728860557E-1,6.840163469E-1
3.544162565E0,1.229366288E-1,3.079524338E-1,7.383833528E-1
3.564162565E0,-3.588833287E-2,1.900554448E-1,6.962336898E-1
3.584161765E0,-3.840815127E-1,3.586542606E-1,5.032002330E-1
3.604161765E0,-1.031598687E0,1.430188268E-1,2.722931802E-1
3.624161765E0,-1.776854277E0,-1.294270754E-1,9.758572280E-2
3.644161765E0,-2.470186234E0,-2.974150181E-1,-1.351539344E-1
3.664161765E0,-3.088992834E0,-1.129413486E0,-7.651086897E-2
3.684162231E0,-3.141527176E0,-1.095205069E0,2.367102914E-2
3.704162231E0,-3.220328808E0,2.206750773E-2,-1.146746755E0
3.724162231E0,-3.312569618E0,1.124755666E-1,-9.439395070E-1
