Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
1.650710010E-1,-2.257833481E-1,-1.732063293E-2,-1.889534593E-1
1.843386050E-1,-1.424903870E-1,-1.314258575E-2,-2.639694512E-1
2.036038140E-1,-2.123551369E-1,-7.301044464E-2,-2.449868023E-1
2.228717830E-1,-3.300504684E-1,2.151203156E-2,-1.175548732E-1
2.421371990E-1,-1.257944107E-1,2.625770569E-1,-5.468887091E-2
2.614038140E-1,4.155917168E-1,8.237552643E-2,-1.803998053E-1
2.806703760E-1,5.602512360E-1,-1.027743816E0,-4.383044541E-1
2.999369390E-1,-9.731969833E-1,5.483379364E-1,-1.512244046E-1
3.192045950E-1,-4.216852188E-1,-1.119909286E-1,-6.913551092E-1
3.384700640E-1,-2.553362846E-1,-3.228712082E-1,-3.267439604E-1
3.577377720E-1,2.265267372E-1,-2.514438629E-1,-9.027296305E-2
3.770031890E-1,7.513437271E-1,-8.661084175E-1,-2.163559347E-1
3.962698030E-1,-1.100311279E-1,-4.930953979E-1,-7.610434294E-2
4.155363660E-1,-9.537363052E-2,-8.654189110E-1,-2.670327127E-1
4.348029280E-1,1.339325905E0,-2.233326435E0,1.074345559E-1
4.540694910E-1,-1.019866228E0,-4.334793091E-1,5.382212400E-1
4.733360530E-1,-1.244210482E0,-8.807344437E-1,1.620270610E-1
4.926026160E-1,1.054325104E-1,-1.221072197E0,6.594939232E-1
5.118691780E-1,6.002006531E-1,-1.507112503E0,1.546727121E-1
5.311357410E-1,1.881817818E0,-2.024867058E0,-1.095370054E0
5.504023550E-1,2.148341656E0,-2.283978939E0,-1.286674261E0
5.696699080E-1,-3.129620552E0,-3.601741791E-2,5.298752785E-1
5.889354800E-1,-2.185393572E0,-1.398869514E0,8.142389059E-1
6.082020430E-1,-7.800734043E-1,-1.746055126E0,5.470379591E-1
6.274686050E-1,-1.891081095E0,-1.975373745E0,-1.269161344E0
6.467351680E-1,-7.003929615E-1,-2.345993519E0,-1.295152783E0
6.660017830E-1,1.571481943E0,-2.742343903E0,2.793620110E0
6.852683970E-1,3.315125465E0,-3.724613667E0,3.186619282E0
7.045349080E-1,6.620002270E0,5.854399681E0,-2.132996559E0
7.238014700E-1,7.837162018E0,7.406994820E0,4.780281067E0
7.430691780E-1,1.822079659E0,5.856951714E0,8.309747577E-1
7.623346470E-1,-1.122286320E-1,3.849125862E0,-2.624357045E-1
7.816009490E-1,-6.256057739E0,3.332162857E0,6.098800898E-1
8.008677720E-1,-3.301228285E0,2.413630486E0,1.454514980E0
8.201343870E-1,1.500580311E-1,1.900080681E0,1.266224623E0
8.394006890E-1,-3.066771030E-1,7.566480637E-1,-1.225171089E-1
8.586256890E-1,-8.157474995E-1,-1.058626175E0,6.045613289E-1
8.779338140E-1,-1.210258007E-1,-2.584824085E0,1.003392816E0
8.972006890E-1,2.018361092E-1,-2.641876221E0,1.418931961E0
9.164682930E-1,-2.270390987E-1,-3.946056366E-1,9.803424478E-1
9.357338660E-1,5.878319740E-1,1.348400116E-2,2.596873045E-1
9.550015220E-1,4.693377018E-1,-8.813095093E-2,3.214371204E-1
9.742669910E-1,1.465534210E0,3.706026077E-1,5.296087265E-2
9.935336050E-1,4.848220348E-1,1.050701141E0,1.319966555E0
1.012801262E0,1.552613020E0,1.301000595E0,1.343654394E0
1.032066730E0,1.758200407E0,1.319884300E0,2.223362446E0
1.051333345E0,2.408262014E0,7.596063614E-1,2.381718159E0
1.070599908E0,2.916218996E0,4.515733719E-1,1.967882633E0
1.089867564E0,3.404345274E0,1.460030556E0,-4.749786854E-1
1.109133085E0,1.561220884E0,2.786897659E0,1.581696272E0
1.128400689E0,9.394388199E-1,2.985574722E0,-2.060419321E0
1.147666262E0,1.205539465E0,7.888803482E-1,-1.905126095E0
1.166933970E0,-2.106761932E-1,2.009410858E-1,-3.298898458E0
1.186200480E0,-4.559750557E-1,3.156455994E0,-4.465622902E0
1.205466001E0,-3.543524742E-1,1.041859627E0,-5.044670105E0
1.224732668E0,-8.750407696E-1,-8.610916138E-2,-3.773195744E0
1.243999126E0,-1.569561601E0,1.167222023E0,-2.104470968E0
1.263224178E0,-1.816152811E0,3.039146423E0,-1.502560019E0
1.282532303E0,-1.896054029E0,2.313660622E0,-2.708816767E0
1.301798918E0,-1.244621038E0,6.877460480E-1,-2.688448191E0
1.321065480E0,-1.227955818E-1,-4.638528824E-1,-2.739477158E-1
1.340332043E0,3.434603214E-1,-9.307842255E-1,-5.587236881E-1
1.359599751E0,8.061883450E-1,-1.523303986E0,-1.684076071E0
1.378865220E0,2.197010517E-1,-1.603009224E0,-2.192491531E0
1.398132876E0,-6.208012104E-1,-1.681825161E0,-1.813192606E0
1.417398397E0,-1.593936443E0,-1.759439468E0,-1.176845074E0
1.436666053E0,-1.793054104E0,-2.569176197E0,-1.712116718E0
1.455932616E0,-1.614902020E0,-2.768245697E0,-1.861867666E0
1.475198397E0,-1.415344238E0,-2.167909622E0,-1.332093000E0
1.494464699E0,-1.268185019E0,-1.797992229E0,-6.373455524E-1
1.513731262E0,-1.855528593E0,-1.570767879E0,-9.193468094E-2
1.532997876E0,-2.096880674E0,-1.917309284E0,3.889889717E-1
1.552264439E0,-2.099511385E0,-1.701136112E0,5.910172462E-1
1.571532095E0,-2.514730215E0,-7.241649628E-1,-1.871562004E-1
1.590797616E0,-2.612643957E0,-5.421853065E-1,-1.566066742E-1
1.610063918E0,-1.747807503E0,-1.827507019E-1,1.502852440E-1
1.629330793E0,4.683053493E-2,8.223190308E-1,8.464612961E-1
1.648597303E0,2.141291142E0,1.588746071E0,2.420965195E0
1.667863918E0,3.207761049E0,1.619809151E0,3.248316288E0
1.687130533E0,1.642519951E0,4.015159607E-2,3.801442146E0
1.706397095E0,-1.405584812E-1,-3.567573547E0,4.231446266E0
1.725664751E0,-4.833949804E-1,-4.529603004E0,2.915171623E0
1.744930272E0,-9.491207600E-1,1.312220573E0,1.496906757E0
1.764196835E0,5.729856491E-1,7.158261299E0,-1.404510736E0
1.783463658E0,3.614585400E-1,1.162585068E1,-3.619110823E0
1.802729960E0,-4.511968613E0,1.086882305E1,-1.015419865E1
1.821996574E0,-6.914133549E0,-1.582421303E0,3.054603577E0
1.841263189E0,-7.879202843E0,-8.596110344E0,-4.780511856E0
1.860529699E0,-3.457803488E0,-3.050922394E0,9.388554096E-1
1.879796366E0,8.735390663E0,2.614929199E0,1.731283188E0
1.899062876E0,1.187230873E1,3.567701340E0,-8.095035553E0
1.918329439E0,3.460716248E0,1.944479942E0,-7.381790638E0
1.937596053E0,-5.912173271E0,-3.105004787E0,7.172692299E0
1.956863762E0,-8.626904488E0,-6.518346786E0,2.919684172E0
1.976084074E0,-5.777822495E0,-4.400967121E0,-3.451876640E0
1.995395793E0,-1.017781734E0,-1.758575439E-1,-4.191436768E0
2.014617251E0,1.627366781E0,2.417044640E0,-2.935744286E0
