Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
6.936510500E-2,6.356592178E-1,2.542345524E-1,7.085027695E-1
8.936510500E-2,7.015771866E-1,2.929067016E-1,6.762609482E-1
1.093651050E-1,8.385279179E-1,2.615779042E-1,6.186714172E-1
1.293651050E-1,1.004973173E0,2.164276242E-1,5.526180267E-1
1.493651050E-1,1.200269461E0,1.187001467E-1,4.834814072E-1
1.693651050E-1,1.405638933E0,-7.010430098E-2,4.253988266E-1
1.897076260E-1,1.618550777E0,-3.778843880E-1,3.890104294E-1
2.097076260E-1,1.866955042E0,-8.079571724E-1,3.785200119E-1
2.297076260E-1,2.126589298E0,-1.321102500E0,4.110727310E-1
2.497076260E-1,2.339019537E0,-1.844174504E0,4.947891235E-1
2.697076260E-1,2.473225594E0,-2.309560776E0,6.128311157E-1
2.897076260E-1,2.506869316E0,-2.667586803E0,7.393798828E-1
3.097076260E-1,2.506719112E0,-2.916056633E0,8.427104950E-1
3.297076260E-1,2.537206650E0,-3.072135448E0,9.042940140E-1
3.497076260E-1,2.601327658E0,-3.168687344E0,9.331083298E-1
3.697076260E-1,2.691032887E0,-3.206225872E0,9.296693802E-1
3.897076260E-1,2.754343033E0,-3.214107037E0,9.191198349E-1
4.097076260E-1,2.747354746E0,-3.225431919E0,9.260091782E-1
4.297076260E-1,-3.344861507E0,-1.043070078E0,7.214336395E-1
4.497076260E-1,-1.864381075E0,-1.682617426E0,1.188529015E0
4.697076260E-1,-3.435289860E0,-5.107512474E-1,2.954483986E0
4.897076260E-1,-4.579385757E0,3.341441154E-1,1.678370476E0
5.097076260E-1,-3.989138365E0,-3.100500107E-1,1.756783485E0
5.297076260E-1,-2.735456705E0,-1.467526674E0,1.556839943E0
5.497076260E-1,-1.860937238E0,-1.417259455E0,9.317045212E-1
5.697076260E-1,-2.770748138E0,-1.787301779E0,-1.319139957E0
5.897076260E-1,-2.402304649E0,-8.695473671E-1,-2.824819088E0
6.097076260E-1,-2.188302040E0,-3.218517303E-1,-1.093683243E0
6.297076260E-1,-1.908573747E0,1.016917229E-1,-7.421617508E-1
6.497076260E-1,-3.091339827E0,-4.048962593E-1,5.871577263E-1
6.697076260E-1,-3.398556948E0,-6.225090027E-1,6.572775841E-1
6.897080920E-1,-3.601265430E0,-1.022118568E0,2.590827942E-1
7.097080920E-1,-4.368419647E0,-5.440979004E-1,9.908885956E-1
7.297080920E-1,-3.228755713E0,-9.678716660E-1,1.106274605E0
7.497080920E-1,-1.731622338E0,-1.695938110E-1,1.512708664E0
7.697080920E-1,-4.665462971E-1,-8.395781517E-1,-7.467045784E-1
7.897076250E-1,-1.245919824E0,-1.277737617E0,-1.673891544E0
8.097076250E-1,-2.283887863E0,-1.606472015E0,-9.017186165E-1
8.297076250E-1,-1.868768692E0,-2.297888756E0,-1.123952866E0
8.497076250E-1,-2.802113056E0,-2.497880459E0,-1.042947292E0
8.697076250E-1,-3.545408010E0,-1.972071648E0,-1.606464386E-1
8.897076250E-1,-3.481386662E0,-1.592955589E0,-2.304487228E-1
9.097076250E-1,-2.989434004E0,-1.820583344E0,-8.680472374E-1
9.297076250E-1,-3.350930691E0,-2.302717209E0,-1.343947887E0
9.497076250E-1,-2.475504398E0,-2.165325165E0,-1.068999767E0
9.697076250E-1,-2.500225067E0,-1.465652466E0,-5.177249908E-1
9.897076250E-1,-3.076556921E0,-1.449625969E0,-4.861550331E-1
1.009707625E0,-4.176113129E0,-1.840965748E0,-5.353760719E-1
1.029707625E0,-4.268837929E0,-2.635944843E0,2.816741467E0
1.049707625E0,-2.575129986E0,-2.732892513E0,1.043903351E0
1.069707625E0,-1.889142990E0,-2.991147518E0,1.129385471E0
1.089707625E0,-3.075617790E0,-2.369098186E0,4.904356003E-1
1.109707625E0,-2.774171352E0,-1.583721638E0,2.798771858E-1
1.129707625E0,-3.763814926E0,-1.865900517E0,5.459060669E-1
1.149707625E0,-3.814363003E0,-1.815286160E0,3.655805588E-1
1.169707625E0,-2.725697517E0,-1.805445671E0,3.080053329E-1
1.189708091E0,-2.338132858E0,-2.243767738E0,1.515305519E0
1.209708091E0,-1.685673714E0,-2.436211109E0,1.743740082E0
1.229708091E0,-1.213358879E0,-2.534431934E0,2.049077511E0
1.249708091E0,-6.190204620E-1,-2.352253437E0,1.803762436E0
1.269708091E0,-1.718263626E-1,-2.371310711E0,7.685661316E-1
1.289707624E0,-6.425485611E-1,-2.519808292E0,-1.057777166E0
1.309707624E0,-1.210298061E0,-2.285226345E0,1.715207100E0
1.329707624E0,-8.892784119E-1,-2.778428555E0,9.419395924E-1
1.349707624E0,-1.143088818E0,-2.656764984E0,6.968045235E-1
1.369707624E0,-1.165071964E0,-2.140609264E0,5.701003075E-1
1.389707624E0,-1.220820904E0,-1.835686207E0,-1.626873016E-2
1.409707624E0,-1.460990429E0,-1.575825691E0,-5.378341675E-2
1.429707624E0,-2.001561403E0,-1.521221638E0,-4.275560379E-2
1.449707624E0,-2.377928257E0,-1.165098667E0,4.945855141E-1
1.469707624E0,-2.478280544E0,-1.078441143E0,6.216592789E-1
1.489707624E0,-2.355942965E0,-1.149228573E0,8.602743149E-1
1.509707624E0,-2.484924078E0,-1.270938873E0,1.392514229E0
1.529707624E0,-2.652517557E0,-1.533627033E0,1.966419697E0
1.549707624E0,-2.526189327E0,-1.670556068E0,2.202387810E0
1.569707624E0,-2.523891926E0,-1.544785023E0,2.933517456E0
1.589707624E0,-2.787894249E0,-1.700078487E0,3.229658365E0
1.609707624E0,-2.865679264E0,-1.713182926E0,3.618005753E0
1.629707624E0,-2.840889931E0,-1.665370941E0,3.980108976E0
1.649707624E0,-3.224103928E0,-1.500251293E0,4.563498497E0
1.669707624E0,-3.464252710E0,-1.257993221E0,4.473363876E0
1.689708090E0,-3.809905052E0,-1.176427841E0,4.296546936E0
1.709708090E0,-3.776214361E0,-1.103024483E0,3.832041979E0
1.729708090E0,-3.796196938E0,-1.127572536E0,3.556205034E0
1.749708090E0,-3.953993082E0,-1.041551590E0,2.921648264E0
1.769708090E0,-4.021012306E0,-1.029220104E0,2.588509083E0
1.789707623E0,-4.175214291E0,-8.271417618E-1,2.345035315E0
1.809707623E0,-4.140234947E0,-8.995532990E-1,1.686397791E0
1.829707623E0,-4.124619961E0,-1.212614059E0,1.222123623E0
1.849707623E0,-3.997720242E0,-1.471888065E0,9.000372887E-1
1.869707623E0,-4.172439575E0,-1.655886650E0,5.115995407E-1
1.889707623E0,-4.123914719E0,-1.701033115E0,8.112859726E-2
1.909707623E0,-4.083085060E0,-1.736555099E0,5.422592163E-3
1.929707623E0,-3.484703779E0,-1.689483643E0,-7.200002670E-2
1.949707623E0,-3.157118559E0,-2.010858059E0,-3.038902283E-1
1.969707623E0,-2.879096508E0,-2.112963676E0,-4.202165604E-1
1.989707623E0,-2.702629328E0,-2.325518608E0,4.010677338E-3
2.009707623E0,-2.541814089E0,-2.465738297E0,7.166080475E-1
