"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.266404167E-2,-7.206851166E-1,4.893716043E-1,-8.825284445E-1
3.256004167E-2,-5.838649482E-1,9.454702127E-1,-1.624334289E0
5.245604167E-2,-9.775483301E-1,1.340805141E0,-1.427860826E0
7.235104167E-2,-4.977167505E-1,2.249760661E0,3.695042682E-1
9.224704167E-2,5.048933306E-1,8.292462766E-1,1.779097808E0
1.121430417E-1,-4.273232907E-1,-4.495304310E-1,9.088157719E-1
1.320390417E-1,-7.391301584E-1,-2.369443810E-1,-8.195498389E-1
1.519350417E-1,-1.318791543E0,8.166133672E-2,-6.150072187E-1
1.718300417E-1,-1.748795198E0,6.304912305E-1,-3.395068824E-1
1.917260417E-1,-1.027791700E0,2.918959290E-1,-3.319879478E-1
2.116220417E-1,1.847995696E-1,-6.927608612E-1,1.018842244E-1
2.315180417E-1,-4.820479667E-1,-3.369826394E-1,1.168252053E0
2.514140417E-1,-1.380351614E0,1.722361690E-1,1.659801160E0
2.713090417E-1,2.872169870E-1,-8.812338710E-2,1.609461311E0
2.912050417E-1,8.548034330E-1,-1.260216476E0,1.189379797E0
3.111010417E-1,2.082914163E-1,-6.891510826E-1,1.067746602E0
3.309970417E-1,2.752078293E-1,4.568786269E-1,2.369350255E-2
3.508930417E-1,8.316655621E-1,2.601022786E-1,-2.026690553E0
3.707880417E-1,8.093354841E-1,-7.003537631E-1,-2.700168759E0
3.906840417E-1,-5.534847160E-1,-7.011092234E-1,-2.263974073E0
4.105800417E-1,-5.776005337E-1,-4.820871431E-1,-1.534988834E0
4.304760417E-1,-1.187615692E0,8.006212324E-2,1.430469854E0
4.503720417E-1,1.255987038E0,-1.999765295E0,-3.809639922E0
4.702670417E-1,1.938242938E0,-1.857922368E0,-2.614096575E0
4.901630417E-1,1.700212729E0,-6.027134478E-2,3.069022232E0
5.100590417E-1,6.522396567E-1,-5.659660363E-1,5.102631211E0
5.299550417E-1,8.564147794E-1,-4.857495466E-1,4.135297675E0
5.498510417E-1,-2.740763931E-1,-4.152499598E-1,1.025616828E0
5.697460417E-1,-1.400758689E0,7.612492982E-1,-5.038341075E-1
5.896420417E-1,-6.843361929E-2,4.019127533E-1,-1.582061843E0
6.095380417E-1,1.864360152E0,-6.354362208E-1,-2.137557855E0
6.294340417E-1,2.420542920E0,-1.461167444E0,-2.427292069E0
6.493300417E-1,2.175077392E0,-2.004533407E0,-1.129995475E0
6.692250417E-1,2.031761990E-1,-2.787826708E-1,-6.060264802E-1
6.891210417E-1,-9.424676675E-1,9.611192621E-1,-6.479621261E-1
7.090170417E-1,-1.399982764E0,9.749324320E-1,-2.043508315E-1
7.289130417E-1,-1.334853552E0,7.967592926E-1,1.032056952E-1
7.488090417E-1,-7.494276899E-1,1.365259074E-1,-3.714443743E-2
7.687040417E-1,-6.506622241E-1,-4.585368973E-1,-8.547068077E-1
7.885660417E-1,-9.421921174E-1,3.165878436E-1,-1.037431127E0
8.084620417E-1,-1.839899495E0,6.556880522E-1,-1.623703374E0
8.283570417E-1,-1.803801563E0,3.534139001E-1,-8.757936215E-1
8.482530417E-1,4.192422633E0,-3.174321231E0,-3.321440100E0
8.681490417E-1,-4.744893003E0,1.198428509E0,-1.234747174E0
8.880450417E-1,-2.558887750E-3,-7.772045955E-1,-8.753930873E-1
9.079410417E-1,-8.229605198E-1,3.040000308E-1,1.054506167E0
9.278370417E-1,-9.567457641E-1,1.015915420E0,2.501164037E0
9.477320417E-1,-1.748909364E0,1.348982764E0,1.745381008E0
9.676278333E-1,-1.763624614E0,1.170201880E0,2.426941236E0
9.875238333E-1,5.201605569E-1,-3.914161607E-1,1.646172470E0
1.007419833E0,1.579334410E0,-1.031856831E0,-2.091209900E0
1.027315833E0,7.105236791E-1,-1.252638923E0,-3.922986444E0
1.047211833E0,-1.601151248E0,5.495461777E-1,8.312811077E-1
1.067106833E0,-2.209654024E0,1.689702798E0,3.410347599E-1
1.087002833E0,-1.132824358E0,6.437930614E-1,-4.569131255E-2
1.106898833E0,4.685593173E-1,4.430163404E-1,3.957173359E-1
1.126794833E0,-1.213332916E0,1.192484815E-1,6.275570977E-1
1.146690833E0,-1.822931460E0,1.190103098E0,-1.108378903E0
1.166586833E0,-1.411214388E0,1.849090149E0,-1.818577039E0
1.186481833E0,-3.346805906E-1,1.728692763E0,-2.270282634E0
1.206377833E0,4.756376642E-1,1.042046189E0,-9.775673336E-1
