acc_ECDF Percentile_0,acc_ECDF Percentile_1,acc_Interquartile range,acc_Max,acc_Min,acc_Absolute energy,acc_Peak to peak distance,gyr_Absolute energy,gyr_Negative turning points,class
0.0150590577152307,0.0455646793884398,0.029515988035083422,0.08025092693190206,0.0077746695394200465,0.9465209298538348,0.0026311607168491304,0.3210202355676174,0.0317803496614861,0
0.028654445174710635,0.10793659656084757,0.07792544747175856,0.1640708110880338,0.013204955429701407,0.9971150990645489,0.00125097390091397,0.07545628899076212,0.008058379419323665,0
0.0136897544331168,0.0611725143612605,0.0474827599281437,0.13474951759758427,0.006634994613475938,0.9922418498892016,0.002029240569174546,0.12305354876706907,0.01743756993934976,0
0.031098267281979192,0.09143410498337856,0.058946425829109445,0.11657555518065073,0.01742150414621701,0.9906079023828992,0.0013128808208646826,0.1355172649248928,0.017974075320916365,0
0.02033958674473291,0.10343464334959387,0.07359240251644233,0.1577652642147317,0.002726598179012616,0.9975208196539413,0.0012872084562701416,0.06981855492674151,0.008628223183496285,0
0.03306380216506434,0.09671082395491354,0.06364702178984921,0.16726359792375778,0.024136586928644246,0.9906544245236752,0.0014893069549715922,0.13553719188589586,0.014970510678178514,0
0.01633139866324704,0.148596945346136,0.13226554668288895,0.19039015164418271,0.0056380367052884205,0.9957089327369097,0.0011579974134726986,0.09207688237071214,0.008942556767458799,0
0.034775137322755445,0.11364362868866384,0.0788684913659084,0.17969980906921287,0.02612371853883212,0.9783598650219377,0.001462923441685383,0.2059906585857424,0.01917530982888002,0
0.02308655739022273,0.18799701055702675,0.16491045316680403,0.20912116443129056,0.006824496961604691,0.9949054022590585,0.0010449414229753869,0.10041047033505984,0.008883235869918363,0
0.0555168183213622,0.12043211316869329,0.06205167147330218,0.22869843056328254,0.03155332680910807,0.9851499737588759,0.001580014716158639,0.17117221719832543,0.013174320455958387,0
0.01859286621479857,0.14472251973203046,0.09569014825287316,0.17304982538363986,0.0027307660288805225,0.9929099719165456,0.0012469510512419847,0.11859070128275662,0.007923759785781219,0
0.05931920567431173,0.13354130908541148,0.07288326016224156,0.22729285833878415,0.03919434096594348,0.9939931662947513,0.0011273118778743873,0.10918490186334447,0.007296605503500188,0
0.0289926206021951,0.09080517160941982,0.056593386169627065,0.1742635332542691,0.010539616629214073,0.9926850575928449,0.0015630409229125549,0.12044667813679086,0.008033957054170458,0
0.07553180284505821,0.15125907905404298,0.07572727620898477,0.26133091632765265,0.012907820519829374,0.9949428343428537,0.0012975085797868372,0.10008554528324573,0.008284476819217134,0
0.04518060850785543,0.10993007100975274,0.06474946250189731,0.15306308761940174,0.0166985132158366,0.9869695324478979,0.001405809201664843,0.16022668173189927,0.014579352376538518,0
0.029521801308993876,0.10364426505596719,0.07269420621344304,0.22332886628000045,0.017636684079519217,0.9913146774639403,0.0015278549245789244,0.13079360046630775,0.013562996939481278,0
0.03474781769025309,0.1163565743344242,0.08160875664417111,0.17481901268635505,0.01918602727459128,0.9817591665670455,0.001621207617074057,0.18904530404925377,0.020103286869023285,0
0.022636446003567304,0.0988994061975643,0.06950643664121889,0.19736182410932354,0.014333392147709838,0.9886865093336489,0.0017243861977914758,0.14907444721005736,0.016422102868009915,0
0.08449961476411566,0.12651470373610915,0.04201508897199348,0.17136872008103982,0.059113550263322996,0.9736767512181952,0.0009841504896729418,0.2266767743812383,0.023754126643209684,0
0.013704462380329347,0.07423577482105514,0.06053131244072581,0.18361629433954316,0.011863976308508887,0.9875276292822938,0.0019461517907864378,0.15676213168657607,0.014387994588234709,0
0.07730341993037693,0.16615779372416153,0.08885437379378461,0.27901965065144796,0.05494616294055568,0.994147360777336,0.0010847782428531046,0.10754654443992774,0.010085299548726067,0
0.03500933140954701,0.13109254511311724,0.08657232075860759,0.22809852242179054,0.020699455903060496,0.9872837744501394,0.0016360783120312433,0.15812412585142402,0.01615079263486258,0
0.07528327023323349,0.14228618616532307,0.06700291593208958,0.25993525007146945,0.06950659156125892,0.9950993969799657,0.0009568453596199238,0.09828616664707705,0.010649860882246865,0
0.012175644500333094,0.07165364762001449,0.059478003119681384,0.13162330911772552,0.009887519402823829,0.9870765735540343,0.0018210040054398324,0.159145976547398,0.018194941069412544,0
0.03567063033179502,0.0882268196409022,0.04969349627234833,0.1558491060008019,0.018337349835224667,0.9921804600868099,0.0012977457995462988,0.12373692537157714,0.015922950014695028,0
0.026698346616010855,0.12739461519824383,0.10069626858223298,0.16610996403969172,0.014374712829821121,0.9967358154625159,0.0011099739378170272,0.07993811461018337,0.011010942847950369,0
0.06170191573445343,0.12372097479172411,0.04669628552888579,0.20605326630603477,0.03065970376890283,0.9878068429993276,0.0014942104735262466,0.1544090323064412,0.019333487468143448,0
0.05189190596605112,0.2465682457359112,0.1946763397698601,0.2828215219300771,0.028686496044554047,0.9974222494558308,0.0009087074062583008,0.07123229754547003,0.0083718685458503,0
0.04519172561384208,0.09035331273085714,0.03501283765608144,0.14613917417624261,0.023459539803887704,0.9816275905793003,0.001418401539766187,0.1892238971251969,0.024342344381222968,0
0.04908326454980904,0.1386580602525156,0.07517476039934556,0.22732189021908822,0.03433367450566329,0.9946479815648301,0.001164857988847971,0.10251324290187928,0.012782945284477163,0
